"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.04 NA 0.97 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 66 12 68 10 100 1.58
"3" "kuku" 613 0 0 1 NA 400 29 402 30 100 1.53
"4" "pkd" 187 0 0 1 NA 126 13 127 13 100 1.48
"5" "pku" 722 0 0 1 NA 502 47 504 47 100 1.44
"6" "pp" 1764 0 0 1 NA 1377 48 1373 50 100 1.28
"7" "tdkd" 16 0.59 NA 0.52 NA 16 5 16 4 100 1
"8" "tdku" 39 0 0 1 NA 20 7 20 7 100 1.95
"9" "tdp" 298 0.01 NA 1 NA 254 24 254 16 100 1.17
"10" "tdtd" 21 0.85 NA 0.17 NA 26 4 26 4 100 0.81
"11" "tukd" 26 0.65 NA 0.38 NA 28 7 28 7 100 0.93
"12" "tuku" 0 1 NA 0.77 NA 0 1 0 0 100 NA
"13" "tup" 177 0.05 NA 0.95 NA 142 23 144 18 100 1.25
"14" "tutd" 62 0.29 NA 0.75 NA 55 13 54 10 100 1.13
"15" "tutu" 1075 0 0 1 NA 768 45 764 42 100 1.4
