"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 13 5 12 4 100 2.85
"2" "kukd" 21 0 0 1 NA 14 4 15 3 100 1.5
"3" "kuku" 12 0.15 NA 1 NA 11 1 11 1 100 1.09
"4" "pkd" 128 0 0 1 NA 79 10 79 7 100 1.62
"5" "pku" 12 0.75 NA 0.25 NA 17 5 19 3 100 0.71
"6" "pp" 193 0 0 1 NA 121 6 121 6 100 1.6
"7" "tdkd" 28 0.23 NA 0.83 NA 22 7 22 6 100 1.27
"8" "tdku" 10 0.1 NA 0.94 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.01 NA 0.99 NA 81 11 84 8 100 1.23
"10" "tdtd" 34 0.17 NA 0.85 NA 28 7 29 6 100 1.21
"11" "tukd" 8 0.7 NA 0.39 NA 9 2 9 2 100 0.89
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.04 NA 1 NA 14 4 15 3 100 1.36
"14" "tutd" 4 1 NA 0.02 NA 10 3 10 2 100 0.4
"15" "tutu" 11 0.3 NA 0.96 NA 10 1 10 1 100 1.1
