"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.38 NA 0.75 NA 8 2 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 75 11 75 10 100 2.07
"3" "kuku" 932 0 0 1 NA 450 34 449 34 100 2.07
"4" "pkd" 109 0.49 NA 0.58 NA 108 16 108 12 100 1.01
"5" "pku" 1195 0 0 1 NA 498 42 502 36 100 2.4
"6" "pp" 1478 0 0 1 NA 920 39 918 38 100 1.61
"7" "tdkd" 20 0.02 NA 0.99 NA 10 4 9 4 100 2
"8" "tdku" 30 0 0 1 NA 11 4 11 4 100 2.73
"9" "tdp" 145 0 0 1 NA 109 11 109 12 100 1.33
"10" "tdtd" 11 0.4 NA 0.76 NA 10 3 10 2 100 1.1
"11" "tukd" 35 0.16 NA 0.86 NA 28 8 28 7 100 1.25
"12" "tuku" 1 0.39 NA 0.91 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 106 19 108 19 100 1.38
"14" "tutd" 12 0.97 NA 0.05 NA 26 8 26 6 100 0.46
"15" "tutu" 770 0.14 NA 0.86 NA 718 43 716 41 100 1.07
