"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 3 100 4
"2" "kukd" 19 0.03 NA 0.98 NA 13 4 14 3 100 1.46
"3" "kuku" 15 0.16 NA 0.98 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 100 10 101 10 100 1.53
"5" "pku" 28 0.07 NA 1 NA 22 6 24 3 100 1.27
"6" "pp" 660 0 0 1 NA 441 11 440 11 100 1.5
"7" "tdkd" 14 0.3 NA 0.79 NA 11 4 11 4 100 1.27
"8" "tdku" 10 0.07 NA 0.96 NA 6 2 6 3 100 1.67
"9" "tdp" 206 0 0 1 NA 167 15 167 10 100 1.23
"10" "tdtd" 24 0.12 NA 0.92 NA 17 5 17 4 100 1.41
"11" "tukd" 5 0.49 NA 0.76 NA 4 2 4 1 100 1.25
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.38 NA 0.84 NA 12 4 14 3 100 1.25
"14" "tutd" 5 0.89 NA 0.22 NA 8 2 8 3 100 0.62
"15" "tutu" 9 0.73 NA 1 NA 9 0 9 0 100 1
