"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 45 0 0 1 NA 20 7 20 7 100 2.25
"2" "kukd" 100 0 0 1 NA 55 12 55 10 100 1.82
"3" "kuku" 113 0 0 1 NA 66 12 66 10 100 1.71
"4" "pkd" 94 0 0 1 NA 31 8 30 7 100 3.03
"5" "pku" 105 0 0 1 NA 57 13 56 13 100 1.84
"6" "pp" 3363 0 0 1 NA 131 13 131 10 100 25.67
"7" "tdkd" 1 0.38 NA 0.95 NA 0 1 0 0 100 Inf
"8" "tdku" 0 1 NA 0.85 NA 0 0 0 0 100 NA
"9" "tdp" 38 0 0 1 NA 15 5 16 5 100 2.53
"10" "tdtd" 17 0.15 NA 0.89 NA 11 5 10 5 100 1.55
"11" "tukd" 0 1 NA 0.65 NA 0 1 0 0 100 NA
"12" "tuku" 0 1 NA 0.94 NA 0 0 0 0 100 NA
"13" "tup" 39 0 0 1 NA 6 3 6 3 100 6.5
"14" "tutd" 11 0.37 NA 0.71 NA 9 4 9 4 100 1.22
"15" "tutu" 40 0 0 1 NA 22 6 22 6 100 1.82
