"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 12 4 100 3.08
"2" "kukd" 21 0.1 NA 0.97 NA 16 4 17 3 100 1.31
"3" "kuku" 16 0.3 NA 0.9 NA 15 2 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 69 9 70 7 100 1.45
"5" "pku" 31 0.09 NA 0.98 NA 24 6 26 4 100 1.29
"6" "pp" 227 0 0 1 NA 163 6 163 6 100 1.39
"7" "tdkd" 12 0.52 NA 0.53 NA 12 5 12 4 100 1
"8" "tdku" 5 0.35 NA 0.84 NA 4 2 4 1 100 1.25
"9" "tdp" 93 0.04 NA 0.98 NA 79 7 78 7 100 1.18
"10" "tdtd" 22 0.4 NA 0.68 NA 20 5 20 6 100 1.1
"11" "tukd" 16 0.89 NA 0.11 NA 21 4 23 3 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0.02 NA 1 NA 36 6 37 3 100 1.22
"14" "tutd" 8 1 NA 0.01 NA 21 4 21 3 100 0.38
"15" "tutu" 30 0.13 NA 0.93 NA 27 2 27 1 100 1.11
