"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.02 NA 1 NA 24 5 25 4 50 1.38
"2" "kukd" 305 0 0 1 NA 193 24 195 13 50 1.58
"3" "kuku" 1719 0 0 1 NA 1137 63 1146 49 50 1.51
"4" "pkd" 538 0 0 1 NA 410 18 412 20 50 1.31
"5" "pku" 2067 0 0 1 NA 1535 81 1540 78 50 1.35
"6" "pp" 6202 0 0 1 NA 4768 91 4768 90 50 1.3
"7" "tdkd" 35 0.4 NA 0.68 NA 32 7 33 7 50 1.09
"8" "tdku" 52 0.14 NA 0.9 NA 39 11 40 10 50 1.33
"9" "tdp" 545 0.16 NA 0.84 NA 523 23 523 21 50 1.04
"10" "tdtd" 44 0.48 NA 0.54 NA 45 6 43 4 50 0.98
"11" "tukd" 102 0.56 NA 0.46 NA 102 16 103 12 50 1
"12" "tuku" 1 0.74 NA 0.64 NA 2 1 1 1 50 0.5
"13" "tup" 541 0.14 NA 0.86 NA 501 38 498 38 50 1.08
"14" "tutd" 114 0.58 NA 0.44 NA 118 19 118 19 50 0.97
"15" "tutu" 4146 0 0 1 NA 3049 103 3044 76 50 1.36
