"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 44 15 42 16 100 4.11
"2" "kukd" 330 0 0 1 NA 171 23 170 21 100 1.93
"3" "kuku" 1611 0 0 1 NA 869 55 862 58 100 1.85
"4" "pkd" 836 0 0 1 NA 337 29 340 23 100 2.48
"5" "pku" 1768 0 0 1 NA 1086 68 1088 76 100 1.63
"6" "pp" 16104 0 0 1 NA 3224 97 3220 90 100 5
"7" "tdkd" 40 0.28 NA 0.73 NA 34 12 31 10 100 1.18
"8" "tdku" 39 0.03 NA 0.98 NA 22 8 21 9 100 1.77
"9" "tdp" 885 0 0 1 NA 387 35 388 28 100 2.29
"10" "tdtd" 99 0.14 NA 0.88 NA 75 21 71 21 100 1.32
"11" "tukd" 57 0.6 NA 0.44 NA 60 10 60 10 100 0.95
"12" "tuku" 1 0.57 NA 0.71 NA 1 2 1 1 100 1
"13" "tup" 329 0 0 1 NA 235 25 235 24 100 1.4
"14" "tutd" 62 0.29 NA 0.72 NA 55 14 55 12 100 1.13
"15" "tutu" 1650 0 0 1 NA 1035 60 1034 59 100 1.59
