"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 32 13 20 6 NA NA
"ku" "kd" 191 3 16 6 NA NA
"ku" "ku" 1185 12 10 23 3 2
"p" "kd" 462 12 47 43 NA NA
"p" "ku" 1515 7 7 34 1 7
"p" "p" 5515 5 27 141 1 6
"td" "kd" 47 NA NA NA 5 NA
"td" "ku" 38 NA NA NA 2 NA
"td" "p" 700 NA NA 4 27 NA
"td" "td" 161 NA NA NA 12 50
"tu" "kd" 126 NA 4 5 NA 1
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 455 NA 1 5 2 1
"tu" "td" 138 NA NA 1 NA 13
"tu" "tu" 3001 NA NA 15 6 5
"kd" "kd" 58 17 13 1 NA NA
"ku" "kd" 225 6 28 8 2 NA
"ku" "ku" 1234 16 16 7 1 4
"p" "kd" 437 8 20 20 NA NA
"p" "ku" 1573 5 8 8 NA 2
"p" "p" 5254 6 14 117 NA 2
"td" "kd" 61 NA 2 NA 1 NA
"td" "ku" 44 NA 3 NA 1 NA
"td" "p" 663 NA 1 10 43 NA
"td" "td" 110 NA NA NA NA 14
"tu" "kd" 108 NA 3 4 NA NA
"tu" "ku" 6 NA NA NA NA NA
"tu" "p" 487 1 NA 6 NA NA
"tu" "td" 109 NA NA NA NA 8
"tu" "tu" 3187 NA NA 13 1 2
"kd" "kd" 30 6 8 11 NA NA
"ku" "kd" 223 9 19 9 NA NA
"ku" "ku" 1231 5 9 7 NA 3
"p" "kd" 478 1 16 11 NA NA
"p" "ku" 1515 5 2 12 1 NA
"p" "p" 5224 3 7 134 1 4
"td" "kd" 43 NA 10 NA 1 NA
"td" "ku" 29 NA 1 NA 1 NA
"td" "p" 615 NA 3 2 25 NA
"td" "td" 89 NA NA NA 2 1
"tu" "kd" 92 NA 1 1 NA NA
"tu" "p" 438 NA NA 4 NA NA
"tu" "td" 100 NA NA NA NA 6
"tu" "tu" 2976 2 NA 6 3 6
"kd" "kd" 33 NA 3 2 NA NA
"ku" "kd" 200 2 25 8 NA NA
"ku" "ku" 1095 8 14 13 NA 1
"p" "kd" 412 NA 31 17 NA NA
"p" "ku" 1479 3 4 15 1 1
"p" "p" 5303 11 18 106 4 2
"td" "kd" 60 NA 11 11 1 NA
"td" "ku" 47 NA NA NA 2 NA
"td" "p" 649 NA 5 7 34 NA
"td" "td" 210 NA NA 6 NA 7
"tu" "kd" 82 1 1 1 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 486 NA 2 1 NA NA
"tu" "td" 124 NA NA NA NA 5
"tu" "tu" 3384 2 1 10 NA 6
"kd" "kd" 64 7 10 NA NA NA
"ku" "kd" 216 6 18 3 NA NA
"ku" "ku" 1163 13 15 6 2 NA
"p" "kd" 496 1 21 14 NA NA
"p" "ku" 1475 4 6 12 NA 3
"p" "p" 5157 4 13 106 4 8
"td" "kd" 39 NA 12 NA NA NA
"td" "ku" 36 NA 1 NA 2 NA
"td" "p" 736 NA 4 1 48 1
"td" "td" 197 NA NA NA 4 NA
"tu" "kd" 135 NA 4 3 NA NA
"tu" "p" 510 NA NA 2 NA NA
"tu" "td" 88 NA NA 1 NA 3
"tu" "tu" 3187 NA 2 11 1 3
"kd" "kd" 36 12 5 NA NA NA
"ku" "kd" 198 6 10 1 NA NA
"ku" "ku" 1131 9 8 12 2 2
"p" "kd" 426 6 19 12 NA NA
"p" "ku" 1576 7 4 11 2 4
"p" "p" 5160 8 11 119 1 3
"td" "kd" 19 NA 1 2 1 NA
"td" "ku" 24 NA NA NA 1 1
"td" "p" 627 NA 1 1 57 NA
"td" "td" 170 NA NA NA 51 98
"tu" "kd" 119 NA 4 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 425 NA 2 3 NA 1
"tu" "td" 126 NA NA NA NA 4
"tu" "tu" 3330 NA 1 8 5 5
"kd" "kd" 31 NA 9 NA NA NA
"ku" "kd" 203 NA 14 5 NA NA
