"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 186 0 0 1 NA 42 18 39 15 2000 4.43
"2" "kukd" 314 0 0 1 NA 151 22 151 19 2000 2.08
"3" "kuku" 1399 0 0 1 NA 731 43 730 43 2000 1.91
"4" "pkd" 734 0 0 1 NA 329 25 328 24 2000 2.23
"5" "pku" 1514 0 0 1 NA 906 65 906 56 2000 1.67
"6" "pp" 14281 0 0 1 NA 3157 81 3154 80 2000 4.52
"7" "tdkd" 73 0.0285 NA 0.974 NA 41 15 39 13 2000 1.78
"8" "tdku" 46 0 0 1 NA 22 6 22 6 2000 2.09
"9" "tdp" 861 0 0 1 NA 386 31 386 28 2000 2.23
"10" "tdtd" 168 0.0245 NA 0.9775 NA 93 32 88 31 2000 1.81
"11" "tukd" 63 0.5265 NA 0.5105 NA 63 11 63 10 2000 1
"12" "tuku" 1 0.4635 NA 0.824 NA 1 1 0 0 2000 1
"13" "tup" 316 0.0125 NA 0.9885 NA 258 29 260 22 2000 1.22
"14" "tutd" 61 0.5735 NA 0.463 NA 62 12 62 11 2000 0.98
"15" "tutu" 2400 0 0 1 NA 1550 67 1549 69 2000 1.55
