"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 43 16 42 15 100 4.21
"2" "kukd" 330 0 0 1 NA 168 24 170 24 100 1.96
"3" "kuku" 1611 0 0 1 NA 870 52 872 56 100 1.85
"4" "pkd" 836 0 0 1 NA 338 32 339 29 100 2.47
"5" "pku" 1768 0 0 1 NA 1076 69 1078 76 100 1.64
"6" "pp" 16104 0 0 1 NA 3198 92 3204 95 100 5.04
"7" "tdkd" 40 0.46 NA 0.59 NA 39 13 38 12 100 1.03
"8" "tdku" 39 0.02 NA 0.99 NA 22 7 21 7 100 1.77
"9" "tdp" 885 0 0 1 NA 392 35 396 33 100 2.26
"10" "tdtd" 99 0.15 NA 0.86 NA 78 17 76 14 100 1.27
"11" "tukd" 57 0.67 NA 0.39 NA 59 10 61 10 100 0.97
"12" "tuku" 1 0.56 NA 0.79 NA 1 1 1 1 100 1
"13" "tup" 329 0 0 1 NA 234 29 232 22 100 1.41
"14" "tutd" 62 0.35 NA 0.67 NA 59 12 58 9 100 1.05
"15" "tutu" 1650 0 0 1 NA 1047 50 1048 48 100 1.58
