"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdku" "tuku"
46 36 87 22 96 401 34 55 2 7 26 6 147 NA NA
17 24 103 49 107 378 NA 28 3 12 35 3 139 NA NA
1 22 69 24 97 389 4 21 NA 7 25 2 159 1 NA
11 13 87 43 101 394 1 43 NA 7 35 2 163 1 1
3 17 81 54 105 363 15 34 2 4 21 4 155 1 NA
11 23 83 69 84 355 5 33 2 13 19 4 146 3 NA
11 10 97 43 84 388 3 25 5 5 36 3 146 1 NA
8 25 81 66 115 405 1 25 8 4 10 1 175 NA NA
10 15 93 48 109 373 NA 36 1 7 26 3 161 1 NA
9 19 75 36 109 404 NA 36 4 4 28 5 155 4 NA
2 32 85 34 122 344 2 17 2 9 32 6 101 2 NA
10 18 83 30 89 344 9 38 NA 8 10 5 126 5 NA
3 20 85 39 88 369 1 26 23 5 21 1 166 1 NA
2 14 85 46 90 390 1 26 1 3 25 1 138 1 NA
13 24 71 49 102 363 3 27 4 11 27 6 199 3 1
6 25 96 41 99 349 1 24 1 1 30 3 162 NA NA
2 15 80 49 100 362 1 22 6 15 30 3 177 NA 1
NA 9 80 44 108 403 1 25 10 9 27 4 129 1 NA
5 21 82 46 113 376 NA 41 4 2 33 2 133 NA NA
2 9 83 34 96 344 1 48 2 5 23 1 152 NA NA
8 27 69 29 86 319 1 33 3 9 25 1 127 NA NA
13 19 91 58 100 413 8 28 16 10 21 6 134 1 NA
14 29 92 41 107 337 1 49 5 3 21 5 157 4 NA
2 16 80 48 105 371 1 23 8 5 29 4 140 2 NA
7 29 85 52 113 357 10 29 1 6 28 3 152 4 NA
10 34 84 39 115 377 1 21 1 5 38 3 162 1 NA
10 23 83 46 107 350 10 25 3 3 29 1 128 4 NA
11 21 105 47 105 353 3 33 2 8 26 4 152 3 NA
4 16 81 35 105 374 1 25 28 4 22 4 153 NA NA
9 17 67 43 125 381 4 38 NA 13 36 9 161 1 NA
6 28 75 44 84 369 7 23 15 7 20 5 136 1 NA
1 22 77 47 100 372 4 30 NA 7 25 2 155 1 NA
3 23 91 43 99 361 3 13 1 2 23 7 152 NA NA
4 6 86 33 118 402 1 37 7 9 34 4 154 3 NA
13 20 83 34 91 366 12 39 NA 7 23 5 148 3 NA
2 17 62 40 95 395 3 33 10 2 11 3 142 2 NA
9 19 88 51 110 370 1 24 6 7 28 10 155 1 NA
16 23 83 45 102 337 6 48 5 5 35 6 166 1 NA
14 27 79 43 104 337 NA 35 3 6 21 2 158 3 NA
4 19 81 40 98 345 6 43 8 9 40 1 167 1 1
28 23 79 51 91 321 2 28 3 9 40 2 144 2 NA
9 26 58 47 73 340 1 36 2 9 39 6 153 NA NA
2 18 81 44 103 404 1 37 2 8 25 8 140 3 NA
7 25 69 44 95 349 NA 40 2 6 25 1 146 1 1
9 23 75 45 95 392 NA 22 NA 7 31 4 134 NA NA
10 22 96 43 103 363 2 34 12 9 27 8 182 3 NA
7 13 70 39 87 361 3 28 4 3 27 5 140 NA NA
1 32 86 50 114 359 3 19 2 12 23 1 155 NA NA
17 39 86 46 117 414 5 17 1 11 31 3 169 1 NA
24 20 71 46 91 328 1 31 14 4 21 6 159 1 NA
2 19 97 47 92 364 5 38 NA 12 31 2 175 NA NA
6 24 82 40 87 395 7 29 NA 5 19 4 126 NA NA
6 21 76 54 94 398 NA 38 17 10 21 5 153 3 NA
9 16 73 40 91 363 10 42 9 13 29 1 148 7 NA
15 29 90 47 118 350 5 29 3 11 28 3 116 7 NA
9 23 79 38 118 366 4 19 3 8 24 3 161 4 NA
7 16 83 44 95 382 1 33 16 7 26 1 158 1 NA
13 17 83 34 100 373 3 28 NA 8 26 2 143 1 NA
26 26 93 50 111 390 2 42 1 10 32 3 137 2 NA
5 10 69 40 80 367 NA 26 2 17 28 6 132 NA NA
3 15 65 42 87 352 1 20 NA 7 23 7 131 1 NA
16 37 73 66 77 366 1 19 4 9 19 5 169 4 NA
9 14 80 40 90 360 1 40 13 6 24 1 172 2 NA
10 21 87 42 120 349 1 35 NA 13 31 4 158 NA 1
21 24 80 52 47 421 13 43 2 7 25 5 158 1 NA
NA 8 82 26 118 381 7 33 13 11 25 3 158 NA NA
16 24 73 36 84 346 17 38 5 4 26 3 147 2 NA
NA 12 84 41 99 341 1 43 NA 5 34 4 145 1 NA
8 10 85 38 113 377 1 35 19 4 16 3 133 NA NA
5 16 90 41 104 410 28 60 5 2 16 1 159 3 NA
15 29 94 23 101 384 NA 31 5 5 29 5 144 NA NA
3 8 71 41 91 399 2 28 11 6 23 NA 118 1 NA
21 36 82 35 109 371 13 30 3 4 22 6 145 NA NA
2 16 72 25 100 354 3 31 8 8 24 6 151 NA NA
19 22 85 45 103 350 NA 41 4 5 21 1 126 1 NA
2 11 83 37 101 393 2 36 NA 7 34 2 154 NA NA
8 24 74 36 103 376 1 39 2 8 25 1 151 2 NA
3 26 68 40 104 367 4 26 3 5 12 1 150 1 NA
8 17 80 43 84 362 5 33 4 10 23 5 153 3 NA
2 14 90 47 93 364 5 29 24 9 29 3 156 3 NA
12 33 93 50 119 379 5 26 3 18 41 4 129 2 NA
1 17 73 49 104 340 3 35 9 7 30 1 146 5 NA
4 23 78 48 93 369 3 30 7 6 30 5 131 1 1
3 11 77 39 111 360 1 32 6 7 28 6 182 1 NA
16 26 79 45 90 385 5 27 13 4 33 5 135 3 NA
16 14 99 44 99 373 1 32 1 7 24 1 146 1 NA
15 25 76 17 88 349 5 42 NA 3 15 7 147 1 1
NA 29 91 50 108 376 NA 47 NA 7 29 5 152 1 NA
