"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0 0 1 NA 11 3 11 3 100 1.73
"2" "kukd" 139 0 0 1 NA 97 15 100 13 100 1.43
"3" "kuku" 876 0 0 1 NA 589 39 584 45 100 1.49
"4" "pkd" 299 0 0 1 NA 257 19 260 20 100 1.16
"5" "pku" 1102 0 0 1 NA 959 94 963 62 100 1.15
"6" "pp" 4469 0 0 1 NA 3499 77 3492 83 100 1.28
"7" "tdkd" 12 0.81 NA 0.24 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.76 NA 0.34 NA 22 7 21 6 100 0.82
"9" "tdp" 325 0.84 NA 0.17 NA 346 20 345 22 100 0.94
"10" "tdtd" 10 0.97 NA 0.05 NA 16 4 16 4 100 0.62
"11" "tukd" 48 0.73 NA 0.29 NA 54 10 55 10 100 0.89
"12" "tuku" 1 0.33 NA 0.85 NA 1 1 0 0 100 1
"13" "tup" 297 0.72 NA 0.31 NA 314 31 316 28 100 0.95
"14" "tutd" 66 0.5 NA 0.5 NA 67 13 66 12 100 0.99
"15" "tutu" 2397 0 0 1 NA 1530 73 1542 68 100 1.57
