"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 100 4
"2" "kukd" 19 0.02 NA 1 NA 13 4 14 3 100 1.46
"3" "kuku" 15 0.21 NA 0.98 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 100 10 101 9 100 1.53
"5" "pku" 28 0.07 NA 0.96 NA 23 5 25 3 100 1.22
"6" "pp" 660 0 0 1 NA 438 11 438 11 100 1.51
"7" "tdkd" 14 0.23 NA 0.82 NA 10 4 10 4 100 1.4
"8" "tdku" 10 0.0600000000000001 NA 0.98 NA 6 2 5 3 100 1.67
"9" "tdp" 206 0 0 1 NA 162 17 163 13 100 1.27
"10" "tdtd" 24 0.13 NA 0.92 NA 17 6 16 6 100 1.41
"11" "tukd" 5 0.64 NA 0.67 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.52 NA 0.86 NA 13 3 15 1 100 1.15
"14" "tutd" 5 0.84 NA 0.28 NA 7 2 7 3 100 0.71
"15" "tutu" 9 0.77 NA 1 NA 9 0 9 0 100 1
