"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 48 9 16 8 NA NA
"ku" "kd" 231 3 20 4 NA NA
"ku" "ku" 1264 10 10 13 3 3
"p" "kd" 515 8 22 14 NA NA
"p" "ku" 1449 4 5 23 1 1
"p" "p" 5384 5 12 117 8 4
"td" "kd" 72 1 3 1 3 NA
"td" "ku" 35 NA NA NA 1 NA
"td" "p" 689 NA 1 5 39 1
"td" "td" 154 NA NA NA NA 1
"tu" "kd" 110 NA 3 1 NA NA
"tu" "ku" 6 NA NA NA NA NA
"tu" "p" 567 NA 2 3 NA 1
"tu" "td" 124 NA NA 2 NA 5
"tu" "tu" 3167 NA NA 4 2 4
"kd" "kd" 22 14 21 2 NA NA
"ku" "kd" 241 8 21 5 NA NA
"ku" "ku" 1213 12 10 11 NA 1
"p" "kd" 452 8 21 33 NA NA
"p" "ku" 1709 7 6 12 1 1
"p" "p" 5266 3 8 103 NA 3
"td" "kd" 69 NA 6 2 1 NA
"td" "ku" 21 NA NA NA NA NA
"td" "p" 625 NA 1 5 18 3
"td" "td" 230 NA NA 11 2 21
"tu" "kd" 117 NA 3 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 519 1 3 3 1 1
"tu" "td" 135 NA NA NA NA 9
"tu" "tu" 3200 NA 1 9 4 5
"kd" "kd" 26 16 26 10 NA NA
"ku" "kd" 218 3 26 7 NA NA
"ku" "ku" 1237 14 19 14 1 4
"p" "kd" 428 9 22 12 3 1
"p" "ku" 1661 5 7 19 2 3
"p" "p" 5382 5 5 94 1 2
"td" "kd" 58 NA 2 4 5 NA
"td" "ku" 48 NA NA NA 3 NA
"td" "p" 647 NA 1 NA 21 NA
"td" "td" 207 NA NA NA NA 3
"tu" "kd" 95 NA 6 5 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 467 1 1 1 NA 1
"tu" "td" 103 1 NA 2 NA 10
"tu" "tu" 3144 NA 2 12 3 2
"kd" "kd" 39 4 NA NA NA NA
"ku" "kd" 222 1 17 3 2 NA
"ku" "ku" 1299 7 9 3 NA 2
"p" "kd" 492 2 15 31 NA NA
"p" "ku" 1701 3 6 14 2 1
"p" "p" 5543 5 6 113 2 3
"td" "kd" 39 NA 1 NA 2 NA
"td" "ku" 43 NA 1 NA NA NA
"td" "p" 598 NA 1 18 32 NA
"td" "td" 156 NA NA NA NA NA
"tu" "kd" 99 NA 4 3 NA NA
"tu" "p" 519 NA 1 3 NA 1
"tu" "td" 107 NA NA 1 NA 5
"tu" "tu" 3312 1 1 9 2 5
"kd" "kd" 53 1 27 NA NA NA
"ku" "kd" 230 4 8 1 NA NA
"ku" "ku" 1147 12 14 12 1 3
"p" "kd" 494 2 9 3 NA NA
"p" "ku" 1418 5 2 12 1 NA
"p" "p" 5321 4 4 99 3 4
"td" "kd" 62 NA 13 NA NA NA
"td" "ku" 26 NA 1 NA 1 NA
"td" "p" 631 NA 2 6 7 2
"td" "td" 175 NA NA NA 27 8
"tu" "kd" 121 NA 1 NA NA NA
"tu" "p" 481 NA 1 3 NA 1
"tu" "td" 129 NA NA 2 1 6
"tu" "tu" 3110 1 1 7 3 5
"kd" "kd" 43 9 8 NA NA NA
"ku" "kd" 186 9 20 NA NA NA
"ku" "ku" 1256 11 6 9 NA 3
"p" "kd" 487 NA 14 13 NA NA
"p" "ku" 1598 2 2 19 1 3
"p" "p" 5196 2 7 120 1 3
"td" "kd" 69 NA 1 3 NA NA
"td" "ku" 33 NA NA NA NA NA
"td" "p" 663 NA 1 2 30 1
"td" "td" 118 NA NA 10 13 17
"tu" "kd" 101 NA 1 3 NA NA
"tu" "ku" 6 NA NA NA NA NA
"tu" "p" 486 NA NA 7 NA 3
"tu" "td" 122 NA NA NA NA 7
"tu" "tu" 3280 1 NA 4 4 3
"kd" "kd" 53 3 7 3 NA NA
"ku" "kd" 227 2 25 1 NA NA
"ku" "ku" 1296 12 12 13 1 2
"p" "kd" 452 3 13 21 NA NA
"p" "ku" 1626 3 4 33 1 2
"p" "p" 5266 NA 6 116 3 1
"td" "kd" 70 NA 3 5 NA NA
"td" "ku" 55 NA 1 2 1 NA
"td" "p" 662 NA 1 12 24 NA
"td" "td" 135 NA NA NA 3 2
"tu" "kd" 109 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 455 1 NA 3 NA 2
"tu" "td" 90 NA NA 1 NA 9
"tu" "tu" 3252 NA NA 11 NA 5
"kd" "kd" 48 NA 1 1 NA NA
"ku" "kd" 113 1 16 8 1 NA
"ku" "ku" 1231 11 10 19 1 1
"p" "kd" 469 1 24 14 NA NA
"p" "ku" 1446 3 5 19 NA NA
"p" "p" 5375 6 13 148 NA NA
"td" "kd" 72 NA 6 NA NA NA
"td" "ku" 36 NA 1 NA 2 NA
"td" "p" 696 NA NA 2 49 NA
"td" "td" 137 NA NA NA 2 NA
"tu" "kd" 109 NA 5 3 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 513 NA NA 2 1 NA
"tu" "td" 88 NA NA NA NA 8
"tu" "tu" 3137 NA 1 10 4 4
"kd" "kd" 32 13 66 NA NA NA
"ku" "kd" 221 10 23 7 1 NA
"ku" "ku" 1254 9 20 10 NA 1
"p" "kd" 456 23 33 4 NA NA
"p" "ku" 1498 4 10 12 NA 3
"p" "p" 5353 6 17 86 5 5
"td" "kd" 71 NA 1 NA NA NA
"td" "ku" 34 NA NA NA 1 NA
"td" "p" 703 NA NA 2 22 2
"td" "td" 157 NA NA NA 5 NA
"tu" "kd" 88 1 NA 1 NA NA
"tu" "p" 451 NA NA 6 NA 1
"tu" "td" 95 NA NA NA NA 7
"tu" "tu" 3018 NA NA 10 2 5
"kd" "kd" 27 2 10 NA NA NA
"ku" "kd" 259 1 31 4 NA NA
"ku" "ku" 1245 13 15 9 1 4
"p" "kd" 470 5 22 14 NA NA
"p" "ku" 1419 7 2 23 NA 1
"p" "p" 5260 8 11 125 3 2
"td" "kd" 56 NA 1 1 NA NA
"td" "ku" 49 NA NA NA 3 NA
"td" "p" 645 NA NA 22 17 NA
"td" "td" 166 NA NA NA 10 NA
"tu" "kd" 91 NA 4 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 483 NA 2 5 NA NA
"tu" "td" 131 NA NA 1 NA 8
"tu" "tu" 3074 1 4 14 3 2
"kd" "kd" 19 6 4 NA NA NA
"ku" "kd" 212 3 13 2 NA NA
"ku" "ku" 1244 4 13 7 NA 1
"p" "kd" 471 3 16 8 1 NA
"p" "ku" 1552 4 4 17 2 3
"p" "p" 5535 5 9 119 2 6
"td" "kd" 35 NA 1 NA 1 NA
"td" "ku" 31 NA NA 1 1 NA
"td" "p" 658 NA 1 1 20 NA
"td" "td" 160 NA NA 2 NA 13
"tu" "kd" 99 NA 1 NA NA NA
"tu" "p" 437 1 NA 6 NA 2
"tu" "td" 108 NA NA NA NA 14
"tu" "tu" 3130 NA NA 18 4 4
"kd" "kd" 39 1 19 NA NA NA
"ku" "kd" 108 3 27 7 1 NA
"ku" "ku" 1341 13 19 7 2 NA
"p" "kd" 545 4 23 26 NA NA
"p" "ku" 1675 6 10 21 1 3
"p" "p" 5263 NA 16 137 4 2
"td" "kd" 52 NA 3 3 5 NA
"td" "ku" 37 NA NA NA NA NA
"td" "p" 649 NA 1 1 30 1
"td" "td" 212 NA NA NA NA 7
"tu" "kd" 113 NA 3 NA NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 531 NA 3 6 1 NA
"tu" "td" 120 NA NA NA NA 11
"tu" "tu" 2982 NA 1 10 5 3
"kd" "kd" 42 10 13 NA NA NA
"ku" "kd" 195 5 22 3 NA NA
"ku" "ku" 1265 10 15 9 4 1
"p" "kd" 496 4 19 11 NA NA
"p" "ku" 1498 7 9 12 1 NA
"p" "p" 5571 5 16 86 2 2
"td" "kd" 42 NA 2 1 NA NA
"td" "ku" 42 NA NA NA 1 NA
"td" "p" 638 NA 1 5 23 NA
"td" "td" 204 NA NA NA 4 1
"tu" "kd" 126 NA 2 NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 497 NA NA 1 NA NA
"tu" "td" 116 NA NA NA NA 7
"tu" "tu" 2986 NA NA 11 1 1
"kd" "kd" 50 7 29 NA NA NA
"ku" "kd" 227 19 22 NA NA NA
"ku" "ku" 1166 9 20 14 2 3
"p" "kd" 476 6 42 13 NA NA
"p" "ku" 1548 3 3 11 1 1
"p" "p" 5462 3 22 96 2 2
"td" "kd" 57 NA 1 1 NA NA
"td" "ku" 31 NA NA NA 1 NA
"td" "p" 737 NA 3 4 25 NA
"td" "td" 201 NA NA NA 7 4
"tu" "kd" 116 NA 2 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 537 NA 1 2 NA 1
"tu" "td" 114 NA NA 2 NA 2
"tu" "tu" 3213 NA 2 11 2 3
"kd" "kd" 57 7 16 9 NA NA
"ku" "kd" 202 3 20 9 1 NA
"ku" "ku" 1159 9 13 8 NA NA
"p" "kd" 485 5 22 14 1 NA
"p" "ku" 1549 4 6 23 NA NA
"p" "p" 5409 7 11 159 NA 1
"td" "kd" 55 NA 2 NA 2 NA
"td" "ku" 52 NA NA 1 NA NA
"td" "p" 653 NA 1 9 6 NA
"td" "td" 160 NA NA NA 2 24
"tu" "kd" 107 NA 3 5 NA NA
"tu" "p" 486 NA NA 8 NA NA
"tu" "td" 124 NA NA 1 NA 6
"tu" "tu" 3101 NA NA 12 1 5
"kd" "kd" 29 7 6 4 NA NA
"ku" "kd" 209 1 27 6 1 NA
"ku" "ku" 1232 5 15 14 1 NA
"p" "kd" 499 4 21 35 NA NA
"p" "ku" 1555 3 3 16 NA 1
"p" "p" 5277 3 13 146 3 5
"td" "kd" 81 NA 4 1 1 NA
"td" "ku" 40 NA NA 1 1 1
"td" "p" 695 NA 1 7 32 NA
"td" "td" 176 NA NA NA 14 13
"tu" "kd" 106 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 515 NA NA 3 1 NA
"tu" "td" 126 NA NA NA NA 9
"tu" "tu" 3089 NA NA 9 3 5
"kd" "kd" 47 1 9 3 NA NA
"ku" "kd" 256 2 28 1 NA NA
"ku" "ku" 1298 12 14 10 1 1
"p" "kd" 468 3 12 12 NA NA
"p" "ku" 1554 4 2 28 1 4
"p" "p" 5223 1 9 109 2 2
"td" "kd" 54 NA 26 NA NA NA
"td" "ku" 34 NA 1 1 NA NA
"td" "p" 724 NA 18 6 33 2
"td" "td" 217 NA NA NA 1 59
"tu" "kd" 118 1 4 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 501 NA 1 7 NA NA
"tu" "td" 102 NA NA NA NA 5
"tu" "tu" 3299 NA 1 11 3 3
"kd" "kd" 40 32 31 NA NA NA
"ku" "kd" 207 12 43 1 NA NA
"ku" "ku" 1192 12 17 9 NA NA
"p" "kd" 492 12 31 7 NA NA
"p" "ku" 1494 14 7 14 1 2
"p" "p" 5584 7 14 115 3 6
"td" "kd" 47 NA NA NA NA NA
"td" "ku" 30 NA NA NA NA NA
"td" "p" 678 NA NA 18 42 NA
"td" "td" 147 NA NA NA 11 10
"tu" "kd" 108 NA 1 NA NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 495 NA 1 8 1 3
"tu" "td" 95 NA NA NA NA 9
"tu" "tu" 2998 NA NA 6 2 1
"kd" "kd" 28 12 24 NA NA NA
"ku" "kd" 205 3 15 8 1 NA
"ku" "ku" 1233 6 8 13 2 1
"p" "kd" 460 12 20 21 NA NA
"p" "ku" 1543 5 3 20 NA 2
"p" "p" 5321 5 7 141 5 3
"td" "kd" 67 NA 5 5 NA NA
"td" "ku" 37 NA NA NA NA NA
"td" "p" 692 NA NA 22 24 1
"td" "td" 228 NA NA NA 14 39
"tu" "kd" 107 1 2 4 1 NA
"tu" "p" 556 1 NA 3 1 NA
"tu" "td" 113 NA NA 3 NA 10
"tu" "tu" 2855 1 1 7 NA 2
"kd" "kd" 38 2 2 NA NA NA
"ku" "kd" 239 3 14 2 1 NA
"ku" "ku" 1236 11 10 7 1 2
"p" "kd" 457 NA 37 10 2 NA
"p" "ku" 1554 7 2 10 NA NA
"p" "p" 5320 3 17 137 5 3
"td" "kd" 46 NA 6 NA 2 NA
"td" "ku" 44 NA NA 1 NA NA
"td" "p" 671 NA 3 4 17 NA
"td" "td" 248 NA NA 3 9 29
"tu" "kd" 86 NA 5 1 1 NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 479 NA 1 9 NA 2
"tu" "td" 116 NA NA NA NA 8
"tu" "tu" 3182 NA NA 10 2 4
"kd" "kd" 42 18 14 NA NA NA
"ku" "kd" 204 6 19 2 NA NA
"ku" "ku" 1118 12 7 8 2 2
"p" "kd" 477 4 21 13 NA NA
"p" "ku" 1459 4 7 15 NA 3
"p" "p" 5254 12 7 120 3 6
"td" "kd" 62 NA NA NA NA NA
"td" "ku" 36 NA NA NA NA NA
"td" "p" 625 NA NA 4 22 NA
"td" "td" 131 NA NA NA 1 4
"tu" "kd" 93 NA 1 4 NA NA
"tu" "p" 481 1 1 7 NA 1
"tu" "td" 118 NA NA NA NA 5
"tu" "tu" 3267 NA NA 8 2 1
"kd" "kd" 31 7 10 NA NA NA
"ku" "kd" 227 1 19 2 NA NA
"ku" "ku" 1143 8 9 8 NA NA
"p" "kd" 480 1 25 21 NA NA
"p" "ku" 1533 5 5 20 NA 2
"p" "p" 5301 8 12 137 1 3
"td" "kd" 48 NA 1 NA NA NA
"td" "ku" 40 NA NA NA NA NA
"td" "p" 618 NA NA 2 28 NA
"td" "td" 167 NA NA NA NA 3
"tu" "kd" 119 NA 1 NA NA NA
"tu" "p" 455 NA NA 3 NA NA
"tu" "td" 108 NA NA 1 1 4
"tu" "tu" 3087 NA NA 7 3 4
"kd" "kd" 29 2 3 NA NA NA
"ku" "kd" 203 NA 32 4 NA NA
"ku" "ku" 1166 11 16 8 1 NA
"p" "kd" 479 1 29 27 NA NA
"p" "ku" 1575 5 5 7 2 2
"p" "p" 5410 12 16 126 1 2
"td" "kd" 42 NA NA NA 1 NA
"td" "ku" 48 NA NA NA 2 NA
"td" "p" 675 NA NA 5 14 NA
"td" "td" 176 NA NA NA NA NA
"tu" "kd" 86 NA 3 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 479 NA 5 7 NA NA
"tu" "td" 98 NA NA NA NA 6
"tu" "tu" 3110 NA NA 8 3 2
"kd" "kd" 34 15 4 NA NA NA
"ku" "kd" 203 11 10 NA NA NA
"ku" "ku" 1120 14 13 12 1 NA
"p" "kd" 435 2 16 19 NA NA
"p" "ku" 1444 5 9 17 NA NA
"p" "p" 5036 6 7 90 4 3
"td" "kd" 51 NA NA NA NA NA
"td" "ku" 27 NA NA NA NA NA
"td" "p" 613 NA NA 6 28 NA
"td" "td" 161 NA NA NA 15 1
"tu" "kd" 90 NA 1 1 NA NA
"tu" "p" 473 NA NA 6 1 NA
"tu" "td" 146 NA NA 1 NA 8
"tu" "tu" 3302 NA NA 8 9 6
"kd" "kd" 29 21 NA NA NA NA
"ku" "kd" 182 4 15 11 NA NA
"ku" "ku" 1279 15 9 9 2 2
"p" "kd" 507 5 10 26 NA NA
"p" "ku" 1655 3 6 23 1 1
"p" "p" 5324 5 7 120 1 NA
"td" "kd" 75 NA NA 4 1 NA
"td" "ku" 32 NA NA NA 4 NA
"td" "p" 708 NA 2 15 33 NA
"td" "td" 116 NA NA 1 1 NA
"tu" "kd" 126 NA 2 3 NA NA
"tu" "p" 509 NA 1 2 NA 1
"tu" "td" 83 NA NA NA NA 3
"tu" "tu" 3115 NA 1 7 1 1
"kd" "kd" 55 8 NA 1 NA NA
"ku" "kd" 269 4 12 9 NA NA
"ku" "ku" 1249 9 11 9 NA 2
"p" "kd" 459 1 12 7 NA NA
