"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
19 55 66 28 66 145 17 13 1 5 12 21 NA NA NA
22 72 68 15 47 145 12 9 NA 7 15 31 1 NA NA
35 37 82 52 77 142 18 22 NA 4 9 28 NA NA NA
18 56 65 36 58 146 7 9 NA 2 7 32 NA 1 NA
35 87 77 40 64 130 9 7 NA 5 7 26 NA NA NA
9 31 55 23 57 129 9 13 NA 9 13 33 NA NA NA
37 69 78 35 64 159 16 7 NA 9 5 23 NA NA NA
31 59 64 35 84 151 8 7 NA 7 7 12 NA NA NA
31 79 78 36 48 123 13 8 NA 3 13 27 NA NA NA
35 86 90 40 75 146 23 15 NA 3 12 12 NA NA NA
14 50 52 36 65 144 21 17 1 10 7 30 NA NA NA
25 57 70 31 61 158 21 15 NA 2 9 22 NA NA NA
28 57 91 27 79 149 28 10 NA 2 6 21 NA 1 NA
8 47 57 32 60 130 4 8 NA 6 10 26 NA NA NA
13 46 61 44 50 102 6 30 NA 7 7 28 NA NA NA
24 49 72 25 64 130 3 12 NA 5 9 35 2 1 1
19 54 62 36 58 125 16 12 NA 7 10 31 1 NA NA
18 42 73 29 67 127 22 9 NA 3 8 34 NA NA NA
19 53 68 29 56 132 12 9 NA 7 5 20 NA NA NA
15 49 51 26 55 132 16 15 NA 6 17 33 NA NA NA
20 61 76 23 41 128 8 12 NA 7 10 21 NA NA NA
19 63 69 27 52 125 13 7 NA 5 4 16 NA NA 1
13 63 70 22 62 153 19 11 NA 6 9 26 NA NA NA
19 70 60 16 45 106 9 9 NA 5 5 11 NA NA NA
28 42 58 43 54 128 13 12 NA 9 6 28 1 NA NA
12 52 64 25 54 105 14 12 NA 4 8 20 NA NA NA
19 60 75 20 58 113 20 14 1 9 13 22 NA NA NA
34 71 65 29 43 125 21 7 NA 3 7 20 NA NA NA
14 55 61 27 60 108 22 14 1 9 7 27 NA NA NA
24 68 87 32 81 139 18 9 1 6 6 15 1 NA NA
21 58 64 33 48 132 12 9 NA 8 8 22 1 NA NA
28 62 75 26 49 140 14 18 NA 9 6 18 NA 1 NA
20 52 61 26 49 120 16 6 1 3 12 22 NA NA NA
27 61 69 23 46 118 5 12 NA 2 4 17 1 NA NA
14 31 41 16 49 148 13 12 3 5 12 27 2 NA NA
20 51 77 43 101 131 10 14 NA 3 11 12 NA NA NA
24 67 88 34 58 126 13 12 1 3 5 27 2 1 NA
6 35 52 29 45 122 19 19 1 18 10 12 1 NA NA
14 48 52 31 41 159 13 10 1 11 9 19 NA NA NA
35 82 61 46 75 133 14 9 1 5 4 21 NA NA NA
23 47 58 26 42 117 12 12 1 2 11 18 NA NA NA
18 38 41 23 44 107 12 19 NA 4 21 28 NA NA NA
21 54 57 29 50 144 20 9 NA 2 10 18 1 NA NA
17 43 75 31 59 132 19 14 1 3 12 23 NA NA NA
20 60 78 30 47 101 19 5 NA 7 15 24 1 NA NA
28 53 71 32 55 124 20 11 NA 13 11 26 2 NA NA
12 47 53 38 64 129 13 9 1 4 3 28 NA NA NA
31 63 83 16 73 125 19 12 NA 6 4 15 1 NA NA
16 41 69 14 65 129 15 11 1 7 10 17 NA NA 4
7 39 59 17 29 136 17 6 NA 9 7 29 NA NA NA
25 56 68 26 39 115 11 12 NA 1 11 23 NA 1 NA
10 50 66 41 71 126 6 22 NA 10 4 17 NA NA NA
17 63 77 15 57 108 14 4 1 1 13 18 1 NA NA
19 45 52 27 44 117 15 8 NA 6 11 30 1 NA 1
35 85 65 38 58 132 18 10 NA 6 11 37 1 NA NA
20 51 60 30 43 146 10 9 1 7 6 35 NA NA NA
16 43 66 20 48 94 22 17 NA 6 16 38 NA NA 1
26 45 71 33 63 135 19 14 1 3 7 21 NA NA NA
28 59 55 38 45 136 16 11 1 9 6 15 NA NA NA
8 52 65 32 54 130 12 15 NA 7 8 16 3 1 NA
42 64 54 36 56 115 14 6 NA 8 4 26 NA NA NA
14 51 72 39 69 138 11 6 NA 7 3 17 NA NA NA
14 56 56 37 43 154 17 11 NA 9 5 23 NA NA NA
15 39 69 35 73 119 11 16 NA 5 10 22 NA 1 NA
35 58 88 15 50 111 14 11 NA 5 5 15 1 NA NA
31 61 81 32 70 134 19 7 1 8 6 18 NA NA NA
18 54 56 37 54 125 18 19 NA 10 12 20 NA NA NA
16 45 64 32 77 149 11 20 NA 3 13 25 NA 1 NA
14 20 55 35 69 128 23 7 2 6 11 19 NA NA NA
17 37 76 25 66 145 8 14 NA 3 10 17 NA NA NA
16 53 62 40 57 151 12 10 NA 7 10 21 NA NA NA
34 77 77 27 60 148 15 11 NA 4 5 29 1 NA NA
23 73 62 29 44 139 7 5 NA 12 9 20 1 NA NA
20 57 71 30 54 151 22 13 1 3 9 28 NA NA 1
18 60 72 33 59 156 13 16 NA 9 10 17 NA 1 NA
23 61 59 46 79 123 14 14 NA 9 7 16 1 1 NA
16 49 59 32 62 134 18 13 NA 4 10 23 1 2 1
26 60 63 18 59 145 13 3 NA 1 7 25 NA NA NA
22 68 93 39 68 150 20 15 NA 12 9 23 NA 1 NA
24 68 76 27 52 122 21 10 NA 10 7 22 NA 1 NA
13 58 40 42 42 124 14 12 NA 9 6 24 NA NA NA
19 61 66 49 44 107 18 7 NA 6 7 24 1 NA NA
16 41 63 40 84 161 19 9 1 5 5 26 1 NA NA
21 53 61 25 55 121 14 15 NA 10 3 22 1 NA NA
19 56 61 43 67 126 23 5 1 8 8 23 NA NA NA
16 26 85 40 58 122 14 3 NA 5 11 26 NA NA NA
15 46 64 24 55 136 12 21 NA 4 5 31 NA NA NA
24 61 71 46 62 131 17 7 NA 7 17 25 1 NA NA
27 50 63 28 61 131 14 13 1 13 7 13 1 NA NA
16 58 70 23 57 131 13 7 NA 7 8 18 NA NA NA
12 56 57 27 50 144 12 11 1 8 6 18 NA 1 NA
15 68 57 43 68 144 7 11 1 9 8 35 1 NA NA
33 62 65 16 55 129 15 13 2 2 5 24 NA NA NA
30 73 73 32 54 113 15 13 NA 5 9 26 NA NA NA
17 46 67 21 50 115 13 17 NA 7 3 21 1 1 NA
24 65 72 30 47 137 15 3 NA 4 9 18 NA NA NA
18 48 54 25 77 122 12 10 1 1 8 23 NA NA NA
12 54 77 23 57 120 22 10 NA 9 9 27 NA NA NA
8 40 46 16 40 124 9 10 NA 9 13 25 1 NA NA
17 63 67 21 47 127 7 9 NA 1 11 29 NA NA NA
