"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 60 20 58 18 100 3.57
"2" "kukd" 438 0 0 1 NA 240 29 241 24 100 1.82
"3" "kuku" 2103 0 0 1 NA 1252 61 1251 66 100 1.68
"4" "pkd" 981 0 0 1 NA 520 33 518 31 100 1.89
"5" "pku" 2297 0 0 1 NA 1583 72 1582 76 100 1.45
"6" "pp" 18008 0 0 1 NA 5470 113 5476 128 100 3.29
"7" "tdkd" 88 0.09 NA 0.92 NA 62 18 60 16 100 1.42
"8" "tdku" 76 0 0 1 NA 40 10 40 11 100 1.9
"9" "tdp" 1205 0 0 1 NA 694 30 697 31 100 1.74
"10" "tdtd" 231 0.17 NA 0.83 NA 188 48 186 46 100 1.23
"11" "tukd" 111 0.52 NA 0.52 NA 112 16 111 16 100 0.99
"12" "tuku" 1 0.67 NA 0.64 NA 2 2 1 1 100 0.5
"13" "tup" 583 0.01 NA 0.99 NA 497 50 502 36 100 1.17
"14" "tutd" 123 0.54 NA 0.47 NA 125 20 126 21 100 0.98
"15" "tutu" 4391 0 0 1 NA 3157 101 3158 110 100 1.39
