"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 209 0 0 1 NA 57 19 54 16 2000 3.67
"2" "kukd" 421 0 0 1 NA 224 28 225 22 2000 1.88
"3" "kuku" 1995 0 0 1 NA 1156 60 1158 59 2000 1.73
"4" "pkd" 944 0 0 1 NA 485 33 485 31 2000 1.95
"5" "pku" 2181 0 0 1 NA 1451 91 1453 77 2000 1.5
"6" "pp" 17339 0 0 1 NA 5053 109 5049 111 2000 3.43
"7" "tdkd" 84 0.1035 NA 0.9045 NA 61 18 60 16 2000 1.38
"8" "tdku" 71 0 0 1 NA 37 10 36 10 2000 1.92
"9" "tdp" 1154 0 0 1 NA 648 37 647 37 2000 1.78
"10" "tdtd" 225 0.133 NA 0.8725 NA 173 46 170 43 2000 1.3
"11" "tukd" 103 0.4575 NA 0.5805 NA 101 14 101 13 2000 1.02
"12" "tuku" 1 0.6275 NA 0.681 NA 1 2 1 1 2000 1
"13" "tup" 547 0.00449999999999995 NA 0.996 NA 451 40 451 33 2000 1.21
"14" "tutd" 114 0.546 NA 0.4855 NA 115 18 115 18 2000 0.99
"15" "tutu" 3978 0 0 1 NA 2833 100 2835 101 2000 1.4
