"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.08 NA 0.96 NA 25 5 25 7 50 1.32
"2" "kukd" 305 0 0 1 NA 198 25 198 19 50 1.54
"3" "kuku" 1719 0 0 1 NA 1143 60 1150 60 50 1.5
"4" "pkd" 538 0 0 1 NA 407 36 410 18 50 1.32
"5" "pku" 2067 0 0 1 NA 1545 80 1552 105 50 1.34
"6" "pp" 6202 0 0 1 NA 4773 99 4760 79 50 1.3
"7" "tdkd" 35 0.28 NA 0.8 NA 31 7 32 7 50 1.13
"8" "tdku" 52 0.0600000000000001 NA 0.98 NA 38 8 38 7 50 1.37
"9" "tdp" 545 0.2 NA 0.82 NA 524 23 522 24 50 1.04
"10" "tdtd" 44 0.58 NA 0.44 NA 45 8 45 9 50 0.98
"11" "tukd" 102 0.52 NA 0.5 NA 103 13 102 11 50 0.99
"12" "tuku" 1 0.62 NA 0.72 NA 1 1 1 1 50 1
"13" "tup" 541 0.2 NA 0.82 NA 505 36 502 40 50 1.07
"14" "tutd" 114 0.56 NA 0.48 NA 115 20 117 16 50 0.99
"15" "tutu" 4146 0 0 1 NA 3044 111 3051 96 50 1.36
