"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0 0 1 NA 25 4 25 4 50 1.32
"2" "kukd" 305 0 0 1 NA 203 18 204 13 50 1.5
"3" "kuku" 1719 0 0 1 NA 1142 55 1144 52 50 1.51
"4" "pkd" 538 0 0 1 NA 406 36 411 22 50 1.33
"5" "pku" 2067 0 0 1 NA 1541 77 1536 69 50 1.34
"6" "pp" 6202 0 0 1 NA 4763 99 4744 92 50 1.3
"7" "tdkd" 35 0.34 NA 0.72 NA 32 7 32 6 50 1.09
"8" "tdku" 52 0.02 NA 0.98 NA 37 8 37 7 50 1.41
"9" "tdp" 545 0.1 NA 0.9 NA 520 22 520 18 50 1.05
"10" "tdtd" 44 0.62 NA 0.52 NA 46 6 44 8 50 0.96
"11" "tukd" 102 0.54 NA 0.52 NA 102 13 102 13 50 1
"12" "tuku" 1 0.64 NA 0.6 NA 1 2 1 1 50 1
"13" "tup" 541 0.08 NA 0.92 NA 490 33 491 28 50 1.1
"14" "tutd" 114 0.62 NA 0.4 NA 121 19 118 16 50 0.94
"15" "tutu" 4146 0 0 1 NA 3042 114 3020 122 50 1.36
