"group" "motif_type" "counts" "total_count"
"1" "others" 2 72
"1" "others" 3 16
"1" "others" 4 12
"1" "others" 5 10
"1" "others" 6 2
"1" "others" 7 1
"1" "others" 8 1
"1" "others" 9 2
"1" "others" 13 1
"1" "others" 14 3
"1" "others" 15 1
"1" "others" 18 1
"1" "others" 20 1
"1" "others" 32 1
"1" "others" 54 1
"1" "protein_complexes" 2 402
"1" "protein_complexes" 3 75
"1" "protein_complexes" 4 29
"1" "protein_complexes" 5 7
"1" "protein_complexes" 6 2
"1" "protein_complexes" 7 2
"1" "protein_complexes" 8 1
"1" "protein_complexes" 9 1
"1" "protein_complexes" 11 1
"1" "regulatory_triplets" 2 164
"1" "regulatory_triplets" 3 25
"1" "regulatory_triplets" 4 8
"1" "regulatory_triplets" 5 6
"1" "regulatory_triplets" 6 3
"1" "regulatory_triplets" 7 1
"1" "regulatory_triplets" 8 1
"1" "signaling_triplets" 2 220
"1" "signaling_triplets" 3 54
"1" "signaling_triplets" 4 13
"1" "signaling_triplets" 5 2
"1" "signaling_triplets" 6 3
"1" "signaling_triplets" 7 2
"1" "signaling_triplets" 9 1
"2" "others" 2 64
"2" "others" 3 21
"2" "others" 4 4
"2" "others" 5 5
"2" "others" 6 8
"2" "others" 8 2
"2" "others" 11 1
"2" "others" 13 1
"2" "others" 15 1
"2" "others" 27 1
"2" "others" 36 1
"2" "protein_complexes" 2 396
"2" "protein_complexes" 3 70
"2" "protein_complexes" 4 24
"2" "protein_complexes" 5 9
"2" "protein_complexes" 6 3
"2" "protein_complexes" 7 2
"2" "protein_complexes" 8 1
"2" "protein_complexes" 9 1
"2" "regulatory_triplets" 2 180
"2" "regulatory_triplets" 3 30
"2" "regulatory_triplets" 4 7
"2" "regulatory_triplets" 5 2
"2" "regulatory_triplets" 6 2
"2" "regulatory_triplets" 8 1
"2" "regulatory_triplets" 9 1
"2" "signaling_triplets" 2 225
"2" "signaling_triplets" 3 46
"2" "signaling_triplets" 4 12
"2" "signaling_triplets" 5 4
"2" "signaling_triplets" 6 1
"2" "signaling_triplets" 7 2
"2" "signaling_triplets" 17 1
"3" "others" 2 76
"3" "others" 3 18
"3" "others" 4 8
"3" "others" 5 5
"3" "others" 6 4
"3" "others" 7 1
"3" "others" 8 4
"3" "others" 9 3
"3" "others" 10 2
"3" "others" 15 1
"3" "others" 18 1
"3" "others" 24 1
"3" "protein_complexes" 2 413
"3" "protein_complexes" 3 68
"3" "protein_complexes" 4 13
"3" "protein_complexes" 5 5
"3" "protein_complexes" 8 2
"3" "protein_complexes" 9 1
"3" "protein_complexes" 11 1
"3" "regulatory_triplets" 2 174
"3" "regulatory_triplets" 3 26
"3" "regulatory_triplets" 4 6
"3" "regulatory_triplets" 5 2
"3" "regulatory_triplets" 7 3
"3" "regulatory_triplets" 12 1
"3" "signaling_triplets" 2 218
"3" "signaling_triplets" 3 39
"3" "signaling_triplets" 4 12
"3" "signaling_triplets" 5 9
"3" "signaling_triplets" 6 2
"3" "signaling_triplets" 7 1
"3" "signaling_triplets" 8 2
"3" "signaling_triplets" 11 1
"3" "signaling_triplets" 19 1
"4" "others" 2 74
"4" "others" 3 26
"4" "others" 4 10
"4" "others" 5 2
"4" "others" 6 4
"4" "others" 7 2
"4" "others" 8 3
"4" "others" 9 2
"4" "others" 14 3
"4" "others" 15 1
"4" "protein_complexes" 2 403
"4" "protein_complexes" 3 62
"4" "protein_complexes" 4 19
"4" "protein_complexes" 5 4
"4" "protein_complexes" 6 5
"4" "protein_complexes" 7 1
"4" "protein_complexes" 8 1
"4" "protein_complexes" 12 1
"4" "regulatory_triplets" 2 176
"4" "regulatory_triplets" 3 33
"4" "regulatory_triplets" 4 11
"4" "regulatory_triplets" 5 3
"4" "regulatory_triplets" 7 1
"4" "signaling_triplets" 2 241
"4" "signaling_triplets" 3 42
"4" "signaling_triplets" 4 13
"4" "signaling_triplets" 5 4
"4" "signaling_triplets" 7 2
"4" "signaling_triplets" 9 1
"4" "signaling_triplets" 11 1
"5" "others" 2 75
"5" "others" 3 23
"5" "others" 4 7
"5" "others" 5 5
"5" "others" 6 6
"5" "others" 7 4
"5" "others" 8 6
"5" "others" 10 1
"5" "others" 11 2
"5" "others" 12 3
"5" "others" 16 1
"5" "others" 17 2
"5" "others" 26 1
"5" "others" 27 1
"5" "others" 40 1
"5" "protein_complexes" 2 399
"5" "protein_complexes" 3 89
"5" "protein_complexes" 4 22
"5" "protein_complexes" 5 5
"5" "protein_complexes" 6 3
"5" "protein_complexes" 7 1
"5" "protein_complexes" 8 2
"5" "protein_complexes" 9 1
"5" "protein_complexes" 17 1
"5" "regulatory_triplets" 2 192
"5" "regulatory_triplets" 3 22
"5" "regulatory_triplets" 4 10
"5" "regulatory_triplets" 5 3
"5" "regulatory_triplets" 10 1
"5" "signaling_triplets" 2 212
"5" "signaling_triplets" 3 56
"5" "signaling_triplets" 4 17
"5" "signaling_triplets" 5 1
"5" "signaling_triplets" 6 2
"5" "signaling_triplets" 7 1
"5" "signaling_triplets" 8 2
"5" "signaling_triplets" 11 1
"6" "others" 2 77
"6" "others" 3 20
"6" "others" 4 8
"6" "others" 5 1
"6" "others" 6 5
"6" "others" 8 2
"6" "others" 9 2
"6" "others" 15 1
"6" "others" 22 1
"6" "protein_complexes" 2 442
"6" "protein_complexes" 3 65
"6" "protein_complexes" 4 28
"6" "protein_complexes" 5 10
"6" "protein_complexes" 6 3
"6" "protein_complexes" 8 1
"6" "protein_complexes" 10 1
"6" "regulatory_triplets" 2 184
"6" "regulatory_triplets" 3 26
"6" "regulatory_triplets" 4 11
"6" "regulatory_triplets" 5 2
"6" "regulatory_triplets" 6 1
"6" "regulatory_triplets" 7 1
"6" "signaling_triplets" 2 205
"6" "signaling_triplets" 3 61
"6" "signaling_triplets" 4 14
"6" "signaling_triplets" 5 4
"6" "signaling_triplets" 7 1
"6" "signaling_triplets" 16 1
"7" "others" 2 67
"7" "others" 3 22
"7" "others" 4 9
"7" "others" 5 9
"7" "others" 6 4
"7" "others" 7 2
"7" "others" 8 1
"7" "others" 9 2
"7" "others" 10 1
"7" "others" 11 3
"7" "others" 27 1
"7" "protein_complexes" 2 418
"7" "protein_complexes" 3 77
"7" "protein_complexes" 4 29
"7" "protein_complexes" 5 7
"7" "protein_complexes" 6 4
"7" "protein_complexes" 7 3
"7" "protein_complexes" 8 3
"7" "protein_complexes" 10 1
"7" "regulatory_triplets" 2 200
"7" "regulatory_triplets" 3 28
"7" "regulatory_triplets" 4 5
"7" "regulatory_triplets" 5 1
"7" "regulatory_triplets" 8 1
"7" "signaling_triplets" 2 210
"7" "signaling_triplets" 3 43
"7" "signaling_triplets" 4 14
"7" "signaling_triplets" 5 5
"7" "signaling_triplets" 6 1
"7" "signaling_triplets" 7 4
"7" "signaling_triplets" 8 2
"7" "signaling_triplets" 11 1
"8" "others" 2 68
"8" "others" 3 19
"8" "others" 4 6
"8" "others" 5 7
"8" "others" 6 5
"8" "others" 7 1
"8" "others" 8 1
"8" "others" 11 1
"8" "others" 12 1
"8" "others" 13 2
"8" "others" 14 1
"8" "others" 21 1
"8" "others" 30 1
"8" "others" 37 1
"8" "protein_complexes" 2 429
"8" "protein_complexes" 3 84
"8" "protein_complexes" 4 26
"8" "protein_complexes" 5 7
"8" "protein_complexes" 6 4
"8" "protein_complexes" 8 2
"8" "regulatory_triplets" 2 169
"8" "regulatory_triplets" 3 30
"8" "regulatory_triplets" 4 10
"8" "regulatory_triplets" 5 5
"8" "regulatory_triplets" 6 2
"8" "regulatory_triplets" 23 1
"8" "signaling_triplets" 2 215
"8" "signaling_triplets" 3 39
"8" "signaling_triplets" 4 17
"8" "signaling_triplets" 5 2
"8" "signaling_triplets" 6 3
"8" "signaling_triplets" 7 2
"8" "signaling_triplets" 8 1
"8" "signaling_triplets" 9 1
"8" "signaling_triplets" 16 1
"9" "others" 2 66
"9" "others" 3 21
"9" "others" 4 11
"9" "others" 5 6
"9" "others" 6 2
"9" "others" 7 5
"9" "others" 8 1
"9" "others" 9 1
"9" "others" 10 2
"9" "others" 11 1
"9" "others" 12 2
"9" "others" 13 1
"9" "others" 15 1
"9" "others" 21 1
"9" "others" 24 1
"9" "protein_complexes" 2 441
"9" "protein_complexes" 3 75
"9" "protein_complexes" 4 17
"9" "protein_complexes" 5 9
"9" "protein_complexes" 6 3
"9" "protein_complexes" 7 2
"9" "protein_complexes" 12 1
"9" "regulatory_triplets" 2 168
"9" "regulatory_triplets" 3 19
"9" "regulatory_triplets" 4 8
"9" "regulatory_triplets" 5 7
"9" "regulatory_triplets" 7 1
"9" "regulatory_triplets" 9 1
"9" "signaling_triplets" 2 213
"9" "signaling_triplets" 3 41
"9" "signaling_triplets" 4 13
"9" "signaling_triplets" 5 3
"9" "signaling_triplets" 6 1
"9" "signaling_triplets" 9 2
"10" "others" 2 55
"10" "others" 3 15
"10" "others" 4 11
"10" "others" 5 5
"10" "others" 6 5
"10" "others" 7 2
"10" "others" 8 3
"10" "others" 9 3
"10" "others" 12 1
"10" "others" 21 1
"10" "others" 22 1
"10" "protein_complexes" 2 458
"10" "protein_complexes" 3 78
"10" "protein_complexes" 4 19
"10" "protein_complexes" 5 6
"10" "protein_complexes" 6 3
"10" "protein_complexes" 8 2
"10" "protein_complexes" 9 1
"10" "protein_complexes" 13 1
"10" "protein_complexes" 20 1
"10" "regulatory_triplets" 2 167
"10" "regulatory_triplets" 3 27
"10" "regulatory_triplets" 4 5
"10" "regulatory_triplets" 5 4
"10" "regulatory_triplets" 7 1
"10" "regulatory_triplets" 10 1
"10" "signaling_triplets" 2 223
"10" "signaling_triplets" 3 38
"10" "signaling_triplets" 4 9
"10" "signaling_triplets" 5 2
"10" "signaling_triplets" 7 1
"10" "signaling_triplets" 8 1
"10" "signaling_triplets" 9 1
"11" "others" 2 66
"11" "others" 3 11
"11" "others" 4 13
"11" "others" 5 2
"11" "others" 6 1
"11" "others" 7 2
"11" "others" 8 1
"11" "others" 9 1
"11" "others" 12 1
"11" "others" 13 1
"11" "others" 14 1
"11" "others" 16 1
"11" "others" 18 1
"11" "protein_complexes" 2 448
"11" "protein_complexes" 3 68
"11" "protein_complexes" 4 24
"11" "protein_complexes" 5 9
"11" "protein_complexes" 6 4
"11" "protein_complexes" 7 4
"11" "protein_complexes" 8 1
"11" "protein_complexes" 10 1
