"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.02 NA 0.99 NA 11 3 11 3 100 1.73
"2" "kukd" 139 0 0 1 NA 97 15 100 13 100 1.43
"3" "kuku" 876 0 0 1 NA 591 40 586 36 100 1.48
"4" "pkd" 299 0.02 NA 0.99 NA 254 16 253 16 100 1.18
"5" "pku" 1102 0.05 NA 0.95 NA 973 73 970 64 100 1.13
"6" "pp" 4469 0 0 1 NA 3500 74 3498 68 100 1.28
"7" "tdkd" 12 0.79 NA 0.29 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.64 NA 0.43 NA 20 6 20 6 100 0.9
"9" "tdp" 325 0.91 NA 0.1 NA 346 26 344 19 100 0.94
"10" "tdtd" 10 0.95 NA 0.07 NA 17 4 16 4 100 0.59
"11" "tukd" 48 0.7 NA 0.35 NA 53 9 53 10 100 0.91
"12" "tuku" 1 0.53 NA 0.76 NA 1 2 1 1 100 1
"13" "tup" 297 0.79 NA 0.21 NA 316 30 315 27 100 0.94
"14" "tutd" 66 0.59 NA 0.42 NA 67 14 68 12 100 0.99
"15" "tutu" 2397 0 0 1 NA 1555 77 1549 72 100 1.54
