"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 52 8 10 NA NA NA
"ku" "kd" 211 6 23 4 NA NA
"ku" "ku" 1238 10 13 16 1 1
"p" "kd" 482 3 33 18 NA NA
"p" "ku" 1630 1 7 22 NA NA
"p" "p" 5291 4 20 112 4 2
"td" "kd" 62 NA 4 NA NA NA
"td" "ku" 39 NA NA NA 5 NA
"td" "p" 629 NA 2 5 27 3
"td" "td" 256 NA NA NA 25 18
"tu" "kd" 108 NA 1 2 NA NA
"tu" "p" 539 NA 1 7 2 NA
"tu" "td" 95 NA NA 1 NA 5
"tu" "tu" 3080 NA NA 5 2 2
"kd" "kd" 56 13 5 NA NA NA
"ku" "kd" 210 3 21 3 NA NA
"ku" "ku" 1305 12 7 15 2 2
"p" "kd" 497 2 27 20 NA NA
"p" "ku" 1442 2 8 11 2 5
"p" "p" 5345 3 11 116 11 1
"td" "kd" 74 NA NA 3 2 NA
"td" "ku" 51 NA NA 1 1 NA
"td" "p" 636 NA NA 14 46 NA
"td" "td" 91 NA NA NA 28 NA
"tu" "kd" 99 NA 3 1 NA NA
"tu" "p" 519 NA NA 2 NA NA
"tu" "td" 98 NA NA NA NA 7
"tu" "tu" 3199 NA NA 16 2 1
"kd" "kd" 44 4 NA 19 NA NA
"ku" "kd" 231 NA 18 7 NA NA
"ku" "ku" 1208 9 5 6 2 NA
"p" "kd" 494 1 21 22 1 NA
"p" "ku" 1570 5 3 19 NA NA
"p" "p" 5447 11 17 143 NA 4
"td" "kd" 26 NA 9 NA NA NA
"td" "ku" 42 NA NA 1 1 NA
"td" "p" 615 NA 4 NA 28 1
"td" "td" 139 NA NA 1 28 14
"tu" "kd" 126 NA 3 1 NA NA
"tu" "p" 442 NA 2 2 NA NA
"tu" "td" 128 NA NA 1 NA 9
"tu" "tu" 3223 NA 1 8 6 5
"kd" "kd" 34 12 3 NA NA NA
"ku" "kd" 248 3 19 4 NA NA
"ku" "ku" 1127 12 7 15 NA 2
"p" "kd" 476 1 7 13 NA NA
"p" "ku" 1376 1 2 30 1 NA
"p" "p" 5268 3 5 114 1 3
"td" "kd" 39 NA 1 NA 1 NA
"td" "ku" 45 NA NA NA 2 NA
"td" "p" 681 NA 1 3 26 1
"td" "td" 238 NA NA NA 7 4
"tu" "kd" 98 NA 1 3 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 446 NA NA 4 NA 1
"tu" "td" 131 NA NA NA NA 10
"tu" "tu" 3025 NA 1 8 2 4
"kd" "kd" 36 6 16 8 NA NA
"ku" "kd" 210 2 12 6 NA NA
"ku" "ku" 1197 5 13 6 1 3
"p" "kd" 504 8 24 21 NA NA
