"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 28 11 9 NA NA NA
"ku" "kd" 215 2 23 1 1 NA
"ku" "ku" 1253 14 7 5 3 2
"p" "kd" 495 2 29 13 2 NA
"p" "ku" 1589 5 7 11 1 1
"p" "p" 5254 7 10 107 2 NA
"td" "kd" 73 NA 3 NA 3 NA
"td" "ku" 34 NA NA NA 1 NA
"td" "p" 685 NA 1 2 30 2
"td" "td" 183 NA NA NA NA 30
"tu" "kd" 100 NA 5 2 NA NA
"tu" "p" 499 NA 2 6 NA 1
"tu" "td" 133 NA NA 2 NA 9
"tu" "tu" 3181 2 1 8 4 5
"kd" "kd" 45 NA 3 NA NA NA
"ku" "kd" 182 1 15 1 NA NA
"ku" "ku" 1139 6 7 10 2 4
"p" "kd" 445 NA 11 9 NA NA
"p" "ku" 1524 3 2 10 1 5
"p" "p" 5378 3 3 137 3 4
"td" "kd" 80 NA NA NA 1 NA
"td" "ku" 43 NA NA NA 6 NA
"td" "p" 642 NA NA 6 31 NA
"td" "td" 96 NA NA NA NA 37
"tu" "kd" 115 NA 4 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 542 NA NA 1 NA 3
"tu" "td" 110 NA NA NA NA 12
"tu" "tu" 3272 NA 1 13 3 6
"kd" "kd" 46 15 17 NA NA NA
"ku" "kd" 183 11 20 3 NA NA
"ku" "ku" 1084 10 6 12 NA 1
"p" "kd" 444 4 16 21 NA NA
"p" "ku" 1510 10 11 23 NA NA
"p" "p" 5255 8 12 137 7 5
"td" "kd" 60 NA 1 NA NA NA
"td" "ku" 23 NA 1 NA 1 NA
"td" "p" 615 NA NA 1 43 NA
"td" "td" 220 NA NA NA NA 1
"tu" "kd" 91 NA 2 1 NA NA
"tu" "p" 488 NA NA 3 NA 3
"tu" "td" 139 NA NA NA NA 7
"tu" "tu" 3090 1 2 7 6 3
"kd" "kd" 64 42 3 NA NA NA
"ku" "kd" 252 5 20 7 NA NA
"ku" "ku" 1292 8 7 11 1 1
"p" "kd" 501 11 27 15 NA NA
"p" "ku" 1647 2 3 22 1 2
"p" "p" 5436 8 17 117 2 NA
"td" "kd" 63 NA 3 NA NA NA
"td" "ku" 64 NA NA NA 1 NA
"td" "p" 582 NA NA 6 12 1
"td" "td" 154 NA NA 5 4 7
"tu" "kd" 104 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 547 NA 1 2 NA 3
"tu" "td" 106 NA NA NA NA 8
"tu" "tu" 3199 NA NA 11 4 4
"kd" "kd" 45 23 21 8 NA NA
"ku" "kd" 192 11 28 3 NA NA
"ku" "ku" 1213 14 20 7 1 2
"p" "kd" 490 7 36 35 NA NA
"p" "ku" 1476 7 9 13 1 2
"p" "p" 5163 4 22 116 4 2
"td" "kd" 40 NA 1 NA 2 NA
"td" "ku" 42 NA NA NA 2 NA
"td" "p" 589 NA 1 5 33 NA
"td" "td" 188 NA NA NA 2 2
"tu" "kd" 104 1 8 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 495 1 3 8 NA 1
"tu" "td" 110 NA NA NA NA 10
"tu" "tu" 3138 NA 2 6 4 5
"kd" "kd" 26 22 8 NA NA NA
"ku" "kd" 208 3 29 3 NA NA
"ku" "ku" 1175 9 16 9 1 1
"p" "kd" 466 9 32 22 NA NA
"p" "ku" 1450 1 5 15 NA NA
"p" "p" 5245 4 13 99 9 1
"td" "kd" 37 NA 6 NA NA NA
"td" "ku" 41 NA NA 1 NA NA
"td" "p" 615 NA 1 20 52 NA
"td" "td" 163 NA NA NA 15 43
"tu" "kd" 50 NA 5 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 459 1 3 2 NA NA
"tu" "td" 128 NA NA 1 NA 18
"tu" "tu" 3298 NA 1 10 4 4
"kd" "kd" 42 11 36 2 NA NA
"ku" "kd" 177 4 21 7 1 NA
"ku" "ku" 1135 15 14 13 2 3
"p" "kd" 464 13 22 8 NA NA
"p" "ku" 1601 9 3 13 NA NA
"p" "p" 5292 12 9 114 6 3
"td" "kd" 49 NA 5 7 NA NA
"td" "ku" 26 NA 4 2 NA NA
"td" "p" 654 NA 3 11 31 NA
"td" "td" 199 NA NA NA 2 NA
"tu" "kd" 102 1 NA 5 NA NA
"tu" "p" 479 2 NA 6 NA NA
"tu" "td" 129 NA NA NA NA 2
"tu" "tu" 3242 NA 1 6 5 1
"kd" "kd" 26 8 12 NA NA NA
"ku" "kd" 145 2 33 13 NA NA
"ku" "ku" 1216 8 14 12 2 2
"p" "kd" 457 3 33 30 NA NA
"p" "ku" 1477 8 6 20 NA NA
"p" "p" 5350 5 12 136 1 7
"td" "kd" 61 NA NA NA NA NA
"td" "ku" 38 NA NA NA NA NA
"td" "p" 595 NA NA 1 53 NA
"td" "td" 132 NA NA NA 12 9
"tu" "kd" 109 NA 7 2 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 474 NA 1 6 NA NA
"tu" "td" 137 NA NA NA NA 6
"tu" "tu" 3122 NA NA 15 3 5
"kd" "kd" 40 NA NA NA NA NA
"ku" "kd" 204 1 12 1 NA NA
"ku" "ku" 1311 12 9 9 NA NA
"p" "kd" 470 NA 24 14 2 NA
"p" "ku" 1601 1 7 25 2 3
"p" "p" 5304 8 13 104 1 3
"td" "kd" 61 NA 5 1 8 NA
"td" "ku" 41 NA NA NA 1 NA
"td" "p" 646 NA 9 5 26 2
"td" "td" 173 NA NA NA 11 NA
"tu" "kd" 116 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 574 1 2 2 NA NA
"tu" "td" 113 NA NA NA NA 7
"tu" "tu" 2955 NA NA 5 1 NA
"kd" "kd" 57 5 7 NA NA NA
"ku" "kd" 198 1 28 7 1 NA
"ku" "ku" 1185 16 20 10 6 1
"p" "kd" 492 1 23 14 NA NA
"p" "ku" 1418 9 5 26 3 3
"p" "p" 5431 8 10 112 2 5
"td" "kd" 47 NA 4 NA 2 NA
"td" "ku" 44 NA NA NA NA NA
"td" "p" 675 NA 1 11 27 1
"td" "td" 74 NA NA NA 6 18
"tu" "kd" 105 NA 4 NA NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 450 1 1 7 1 NA
"tu" "td" 135 NA NA NA NA 8
"tu" "tu" 3159 NA 1 7 2 1
"kd" "kd" 51 11 11 NA NA NA
"ku" "kd" 205 4 37 2 NA NA
"ku" "ku" 1172 27 14 5 NA 3
"p" "kd" 469 4 25 23 NA NA
"p" "ku" 1576 1 11 21 1 1
"p" "p" 5203 4 20 97 2 2
"td" "kd" 65 NA 7 NA NA NA
"td" "ku" 45 NA NA NA 1 NA
"td" "p" 640 NA 6 3 35 NA
"td" "td" 202 NA NA 7 NA 11
"tu" "kd" 110 NA 1 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 471 NA NA 3 NA NA
"tu" "td" 114 NA NA NA NA 7
"tu" "tu" 3153 NA NA 4 NA 4
"kd" "kd" 24 1 9 NA NA NA
"ku" "kd" 203 1 15 3 NA NA
"ku" "ku" 1187 9 6 9 1 NA
"p" "kd" 509 4 34 9 NA NA
"p" "ku" 1471 1 2 18 NA NA
"p" "p" 5364 2 30 109 1 1
"td" "kd" 59 NA 4 NA 11 NA
"td" "ku" 14 NA NA NA 6 NA
"td" "p" 676 NA NA 5 24 2
"td" "td" 128 NA NA NA 1 30
"tu" "kd" 80 NA 3 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 522 NA 1 6 NA 1
"tu" "td" 129 NA NA 1 NA 11
"tu" "tu" 3118 NA 2 13 3 4
"kd" "kd" 48 9 25 8 NA NA
"ku" "kd" 206 3 24 6 NA NA
"ku" "ku" 1159 7 18 12 2 1
"p" "kd" 539 5 22 19 NA NA
"p" "ku" 1518 8 5 17 NA 1
"p" "p" 5482 NA 20 119 5 1
"td" "kd" 42 NA 2 NA NA NA
"td" "ku" 45 NA 1 1 1 NA
"td" "p" 594 NA 1 9 21 4
"td" "td" 185 NA NA NA 41 NA
"tu" "kd" 95 NA 3 2 NA NA
"tu" "p" 492 NA 1 3 NA 3
"tu" "td" 125 NA NA 1 NA 10
"tu" "tu" 2915 NA 1 5 5 4
"kd" "kd" 65 3 1 2 NA NA
"ku" "kd" 190 2 22 7 1 NA
"ku" "ku" 1186 15 12 15 5 1
"p" "kd" 474 1 16 16 NA NA
"p" "ku" 1404 4 6 21 1 2
"p" "p" 5245 1 9 131 5 2
"td" "kd" 38 NA 1 NA 1 NA
"td" "ku" 41 NA 1 NA 9 NA
"td" "p" 660 NA 3 1 33 2
"td" "td" 208 NA NA NA 66 2
"tu" "kd" 132 NA 2 NA NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 509 NA NA 1 1 1
"tu" "td" 112 NA NA NA 1 9
"tu" "tu" 3069 NA NA 15 NA 7
"kd" "kd" 48 7 NA NA NA NA
"ku" "kd" 226 3 10 5 NA NA
"ku" "ku" 1300 10 4 11 NA 2
"p" "kd" 541 NA 15 6 1 NA
"p" "ku" 1625 5 4 25 1 3
"p" "p" 5258 5 14 131 NA 1
"td" "kd" 70 NA 5 NA 5 NA
"td" "ku" 32 NA NA NA NA NA
"td" "p" 672 NA 1 4 32 NA
"td" "td" 145 NA NA NA 13 NA
"tu" "kd" 114 NA 1 NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 476 NA 3 3 1 NA
"tu" "td" 111 NA NA NA NA 8
"tu" "tu" 3137 NA NA 18 2 NA
"kd" "kd" 43 1 25 9 NA NA
"ku" "kd" 195 3 34 5 NA NA
"ku" "ku" 1232 11 22 13 NA 4
"p" "kd" 488 6 20 13 NA NA
"p" "ku" 1586 7 6 14 NA NA
"p" "p" 5292 6 16 124 4 4
