"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.0600000000000001 NA 0.94 NA 25 5 25 4 50 1.32
"2" "kukd" 305 0 0 1 NA 197 28 200 23 50 1.55
"3" "kuku" 1719 0 0 1 NA 1129 47 1126 47 50 1.52
"4" "pkd" 538 0 0 1 NA 405 35 403 21 50 1.33
"5" "pku" 2067 0 0 1 NA 1528 86 1524 62 50 1.35
"6" "pp" 6202 0 0 1 NA 4723 92 4740 98 50 1.31
"7" "tdkd" 35 0.52 NA 0.62 NA 33 7 35 7 50 1.06
"8" "tdku" 52 0.0600000000000001 NA 0.94 NA 37 11 38 10 50 1.41
"9" "tdp" 545 0.22 NA 0.8 NA 522 29 516 25 50 1.04
"10" "tdtd" 44 0.66 NA 0.42 NA 47 6 47 6 50 0.94
"11" "tukd" 102 0.64 NA 0.4 NA 105 13 105 11 50 0.97
"12" "tuku" 1 0.58 NA 0.76 NA 1 2 1 1 50 1
"13" "tup" 541 0.1 NA 0.9 NA 497 38 492 30 50 1.09
"14" "tutd" 114 0.62 NA 0.44 NA 120 18 120 19 50 0.95
"15" "tutu" 4146 0 0 1 NA 3048 96 3054 93 50 1.36
