"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 11 4 11 4 100 3.36
"2" "kukd" 21 0.0600000000000001 NA 0.97 NA 17 4 18 2 100 1.24
"3" "kuku" 16 0.33 NA 0.87 NA 15 1 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 69 12 71 7 100 1.45
"5" "pku" 31 0.14 NA 0.99 NA 26 4 27 3 100 1.19
"6" "pp" 227 0 0 1 NA 164 7 164 6 100 1.38
"7" "tdkd" 12 0.56 NA 0.55 NA 12 4 12 4 100 1
"8" "tdku" 5 0.41 NA 0.87 NA 4 2 4 1 100 1.25
"9" "tdp" 93 0.01 NA 1 NA 78 9 79 7 100 1.19
"10" "tdtd" 22 0.4 NA 0.67 NA 20 6 19 6 100 1.1
"11" "tukd" 16 0.88 NA 0.14 NA 21 5 22 4 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0.03 NA 0.98 NA 35 7 37 3 100 1.26
"14" "tutd" 8 1 NA 0 0 20 4 21 4 100 0.4
"15" "tutu" 30 0.13 NA 0.96 NA 27 2 27 1 100 1.11
