"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.02 NA 0.98 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 69 11 70 10 100 1.51
"3" "kuku" 613 0 0 1 NA 397 28 398 30 100 1.54
"4" "pkd" 187 0 0 1 NA 125 19 128 13 100 1.5
"5" "pku" 722 0 0 1 NA 494 60 496 39 100 1.46
"6" "pp" 1764 0 0 1 NA 1368 48 1372 51 100 1.29
"7" "tdkd" 16 0.56 NA 0.58 NA 16 5 16 4 100 1
"8" "tdku" 39 0.02 NA 0.98 NA 21 7 19 6 100 1.86
"9" "tdp" 298 0.01 NA 0.99 NA 254 26 254 19 100 1.17
"10" "tdtd" 21 0.85 NA 0.19 NA 26 5 26 6 100 0.81
"11" "tukd" 26 0.66 NA 0.39 NA 28 7 28 6 100 0.93
"12" "tuku" 0 1 NA 0.8 NA 0 1 0 0 100 NA
"13" "tup" 177 0.0600000000000001 NA 0.94 NA 143 21 142 17 100 1.24
"14" "tutd" 62 0.32 NA 0.71 NA 57 14 56 12 100 1.09
"15" "tutu" 1075 0 0 1 NA 775 42 774 37 100 1.39
