"group" "motif_type" "counts" "total_count"
"1" "others" 2 73
"1" "others" 3 18
"1" "others" 4 7
"1" "others" 5 4
"1" "others" 6 1
"1" "others" 7 2
"1" "others" 8 3
"1" "others" 10 2
"1" "others" 11 2
"1" "others" 12 1
"1" "others" 14 1
"1" "others" 15 1
"1" "others" 20 1
"1" "protein_complexes" 2 401
"1" "protein_complexes" 3 86
"1" "protein_complexes" 4 23
"1" "protein_complexes" 5 5
"1" "protein_complexes" 6 4
"1" "protein_complexes" 7 3
"1" "protein_complexes" 9 2
"1" "protein_complexes" 10 3
"1" "regulatory_triplets" 2 167
"1" "regulatory_triplets" 3 22
"1" "regulatory_triplets" 4 11
"1" "regulatory_triplets" 5 4
"1" "regulatory_triplets" 7 1
"1" "regulatory_triplets" 9 1
"1" "regulatory_triplets" 10 1
"1" "regulatory_triplets" 21 1
"1" "signaling_triplets" 2 213
"1" "signaling_triplets" 3 40
"1" "signaling_triplets" 4 11
"1" "signaling_triplets" 5 8
"1" "signaling_triplets" 7 2
"1" "signaling_triplets" 8 1
"1" "signaling_triplets" 11 1
"2" "others" 2 55
"2" "others" 3 19
"2" "others" 4 11
"2" "others" 5 3
"2" "others" 6 6
"2" "others" 8 5
"2" "others" 10 3
"2" "others" 13 1
"2" "others" 15 2
"2" "protein_complexes" 2 390
"2" "protein_complexes" 3 78
"2" "protein_complexes" 4 22
"2" "protein_complexes" 5 6
"2" "protein_complexes" 6 2
"2" "protein_complexes" 7 2
"2" "protein_complexes" 8 4
"2" "protein_complexes" 17 1
"2" "regulatory_triplets" 2 184
"2" "regulatory_triplets" 3 35
"2" "regulatory_triplets" 4 8
"2" "regulatory_triplets" 5 2
"2" "regulatory_triplets" 7 1
"2" "regulatory_triplets" 14 1
"2" "signaling_triplets" 2 222
"2" "signaling_triplets" 3 44
"2" "signaling_triplets" 4 18
"2" "signaling_triplets" 5 3
"2" "signaling_triplets" 6 5
"2" "signaling_triplets" 7 1
"2" "signaling_triplets" 8 2
"3" "others" 2 62
"3" "others" 3 20
"3" "others" 4 10
"3" "others" 5 8
"3" "others" 6 6
"3" "others" 7 3
"3" "others" 9 2
"3" "others" 10 1
"3" "others" 14 1
"3" "others" 16 2
"3" "others" 35 1
"3" "protein_complexes" 2 399
"3" "protein_complexes" 3 81
"3" "protein_complexes" 4 19
"3" "protein_complexes" 5 10
"3" "protein_complexes" 6 7
"3" "protein_complexes" 7 4
"3" "protein_complexes" 8 3
"3" "protein_complexes" 10 1
"3" "protein_complexes" 19 1
"3" "regulatory_triplets" 2 157
"3" "regulatory_triplets" 3 33
"3" "regulatory_triplets" 4 6
"3" "regulatory_triplets" 5 4
"3" "regulatory_triplets" 6 3
"3" "regulatory_triplets" 11 1
"3" "regulatory_triplets" 18 1
"3" "signaling_triplets" 2 229
