"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 65 20 61 18 100 3.29
"2" "kukd" 438 0 0 1 NA 244 31 248 22 100 1.8
"3" "kuku" 2103 0 0 1 NA 1252 71 1248 71 100 1.68
"4" "pkd" 981 0 0 1 NA 518 40 520 33 100 1.89
"5" "pku" 2297 0 0 1 NA 1566 87 1562 85 100 1.47
"6" "pp" 18008 0 0 1 NA 5462 128 5462 142 100 3.3
"7" "tdkd" 88 0.0600000000000001 NA 0.95 NA 60 15 60 12 100 1.47
"8" "tdku" 76 0 0 1 NA 39 10 39 10 100 1.95
"9" "tdp" 1205 0 0 1 NA 691 36 689 37 100 1.74
"10" "tdtd" 231 0.15 NA 0.86 NA 178 44 175 45 100 1.3
"11" "tukd" 111 0.52 NA 0.52 NA 112 16 111 12 100 0.99
"12" "tuku" 1 0.71 NA 0.6 NA 2 2 1 1 100 0.5
"13" "tup" 583 0 0 1 NA 491 40 490 36 100 1.19
"14" "tutd" 123 0.59 NA 0.44 NA 125 22 128 21 100 0.98
"15" "tutu" 4391 0 0 1 NA 3151 112 3148 123 100 1.39
