"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.02 NA 0.98 NA 24 5 24 4 50 1.38
"2" "kukd" 305 0 0 1 NA 205 25 206 23 50 1.49
"3" "kuku" 1719 0 0 1 NA 1135 63 1134 56 50 1.51
"4" "pkd" 538 0 0 1 NA 409 20 407 23 50 1.32
"5" "pku" 2067 0 0 1 NA 1542 79 1539 98 50 1.34
"6" "pp" 6202 0 0 1 NA 4757 102 4746 92 50 1.3
"7" "tdkd" 35 0.42 NA 0.6 NA 33 8 33 7 50 1.06
"8" "tdku" 52 0.04 NA 0.96 NA 36 10 35 8 50 1.44
"9" "tdp" 545 0.14 NA 0.86 NA 519 24 519 21 50 1.05
"10" "tdtd" 44 0.68 NA 0.36 NA 48 7 48 7 50 0.92
"11" "tukd" 102 0.52 NA 0.5 NA 101 13 102 13 50 1.01
"12" "tuku" 1 0.68 NA 0.7 NA 2 2 1 1 50 0.5
"13" "tup" 541 0.0600000000000001 NA 0.94 NA 491 36 502 35 50 1.1
"14" "tutd" 114 0.66 NA 0.36 NA 121 15 122 19 50 0.94
"15" "tutu" 4146 0 0 1 NA 3046 82 3054 82 50 1.36
