"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 35 12 34 13 100 3.69
"2" "kukd" 316 0 0 1 NA 105 16 104 16 100 3.01
"3" "kuku" 1097 0 0 1 NA 308 26 306 24 100 3.56
"4" "pkd" 612 0 0 1 NA 78 15 77 13 100 7.85
"5" "pku" 1177 0 0 1 NA 260 32 258 30 100 4.53
"6" "pp" 13890 0 0 1 NA 473 29 470 25 100 29.37
"7" "tdkd" 28 0.01 NA 0.99 NA 11 6 10 6 100 2.55
"8" "tdku" 50 0 0 1 NA 8 4 7 4 100 6.25
"9" "tdp" 592 0 0 1 NA 63 11 64 10 100 9.4
"10" "tdtd" 41 0 0 1 NA 16 6 16 6 100 2.56
"11" "tukd" 17 0.03 NA 0.97 NA 9 4 8 4 100 1.89
"12" "tuku" 0 1 NA 0.94 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 26 8 28 7 100 6.65
"14" "tutd" 21 0.11 NA 0.93 NA 14 4 14 4 100 1.5
"15" "tutu" 353 0 0 1 NA 67 10 68 10 100 5.27
