"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 46 20 42 18 100 3.93
"2" "kukd" 330 0 0 1 NA 173 23 172 18 100 1.91
"3" "kuku" 1611 0 0 1 NA 868 49 862 44 100 1.86
"4" "pkd" 836 0 0 1 NA 343 31 342 24 100 2.44
"5" "pku" 1768 0 0 1 NA 1084 60 1087 53 100 1.63
"6" "pp" 16104 0 0 1 NA 3198 91 3198 102 100 5.04
"7" "tdkd" 40 0.37 NA 0.65 NA 38 13 37 12 100 1.05
"8" "tdku" 39 0.03 NA 0.98 NA 24 7 24 7 100 1.62
"9" "tdp" 885 0 0 1 NA 391 29 392 31 100 2.26
"10" "tdtd" 99 0.15 NA 0.87 NA 77 19 77 20 100 1.29
"11" "tukd" 57 0.65 NA 0.41 NA 60 10 60 10 100 0.95
"12" "tuku" 1 0.6 NA 0.76 NA 1 1 1 1 100 1
"13" "tup" 329 0 0 1 NA 232 21 233 24 100 1.42
"14" "tutd" 62 0.4 NA 0.62 NA 59 10 60 10 100 1.05
"15" "tutu" 1650 0 0 1 NA 1033 50 1029 56 100 1.6
