"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 109 0 0 1 NA 10 8 9 7 100 10.9
"2" "kukd" 78 0 0 1 NA 20 7 20 7 100 3.9
"3" "kuku" 296 0 0 1 NA 80 10 80 13 100 3.7
"4" "pkd" 177 0 0 1 NA 44 9 44 7 100 4.02
"5" "pku" 320 0 0 1 NA 96 15 98 15 100 3.33
"6" "pp" 5271 0 0 1 NA 371 24 370 22 100 14.21
"7" "tdkd" 7 0.1 NA 0.94 NA 3 3 2 3 100 2.33
"8" "tdku" 7 0.03 NA 0.99 NA 2 2 1 1 100 3.5
"9" "tdp" 262 0 0 1 NA 31 7 31 6 100 8.45
"10" "tdtd" 86 0 0 1 NA 6 7 3 4 100 14.33
"11" "tukd" 5 0.8 NA 0.34 NA 8 3 8 4 100 0.62
"12" "tuku" 0 1 NA 0.91 NA 0 0 0 0 100 NA
"13" "tup" 40 0 0 1 NA 24 7 25 7 100 1.67
"14" "tutd" 6 0.23 NA 0.82 NA 4 3 4 2 100 1.5
"15" "tutu" 349 0 0 1 NA 147 15 147 12 100 2.37
