"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 209 0 0 1 NA 55 18 53 18 2000 3.8
"2" "kukd" 414 0 0 1 NA 215 28 217 24 2000 1.93
"3" "kuku" 1935 0 0 1 NA 1108 57 1105 58 2000 1.75
"4" "pkd" 924 0 0 1 NA 465 32 465 31 2000 1.99
"5" "pku" 2103 0 0 1 NA 1392 83 1390 76 2000 1.51
"6" "pp" 17027 0 0 1 NA 4828 107 4826 108 2000 3.53
"7" "tdkd" 84 0.084 NA 0.919 NA 59 17 57 16 2000 1.42
"8" "tdku" 70 0 0 1 NA 35 9 35 9 2000 2
"9" "tdp" 1111 0 0 1 NA 619 36 618 34 2000 1.79
"10" "tdtd" 223 0.092 NA 0.9095 NA 163 42 160 42 2000 1.37
"11" "tukd" 102 0.345 NA 0.6895 NA 96 14 96 13 2000 1.06
"12" "tuku" 1 0.6265 NA 0.6985 NA 1 2 1 1 2000 1
"13" "tup" 521 0.00349999999999995 NA 0.9965 NA 427 40 428 33 2000 1.22
"14" "tutd" 110 0.508 NA 0.519 NA 110 18 110 16 2000 1
"15" "tutu" 3800 0 0 1 NA 2671 99 2666 99 2000 1.42
