"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 12 4 100 3.08
"2" "kukd" 21 0.13 NA 0.94 NA 16 5 17 3 100 1.31
"3" "kuku" 16 0.33 NA 0.83 NA 15 2 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 69 10 70 7 100 1.45
"5" "pku" 31 0.0600000000000001 NA 0.99 NA 25 5 26 2 100 1.24
"6" "pp" 227 0 0 1 NA 163 7 163 6 100 1.39
"7" "tdkd" 12 0.57 NA 0.5 NA 13 4 12 5 100 0.92
"8" "tdku" 5 0.27 NA 0.89 NA 3 2 3 1 100 1.67
"9" "tdp" 93 0.01 NA 0.99 NA 76 10 78 7 100 1.22
"10" "tdtd" 22 0.41 NA 0.63 NA 21 6 20 6 100 1.05
"11" "tukd" 16 0.82 NA 0.19 NA 21 5 23 3 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0 0 1 NA 34 7 36 4 100 1.29
"14" "tutd" 8 1 NA 0 0 20 5 21 4 100 0.4
"15" "tutu" 30 0.05 NA 0.97 NA 26 2 26 1 100 1.15
