"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 180 0 0 1 NA 36 17 35 15 100 5
"2" "kukd" 266 0 0 1 NA 128 20 125 16 100 2.08
"3" "kuku" 1216 0 0 1 NA 607 40 606 40 100 2
"4" "pkd" 653 0 0 1 NA 274 23 276 22 100 2.38
"5" "pku" 1320 0 0 1 NA 745 53 748 58 100 1.77
"6" "pp" 13269 0 0 1 NA 2616 77 2614 80 100 5.07
"7" "tdkd" 61 0.02 NA 0.98 NA 32 11 31 12 100 1.91
"8" "tdku" 38 0 0 1 NA 18 6 18 4 100 2.11
"9" "tdp" 766 0 0 1 NA 313 22 312 25 100 2.45
"10" "tdtd" 157 0.01 NA 0.99 NA 73 28 66 22 100 2.15
"11" "tukd" 53 0.54 NA 0.48 NA 53 10 54 9 100 1
"12" "tuku" 0 1 NA 0.63 NA 1 1 0 0 100 0
"13" "tup" 266 0 0 1 NA 205 24 208 17 100 1.3
"14" "tutd" 52 0.37 NA 0.64 NA 48 11 49 10 100 1.08
"15" "tutu" 2005 0 0 1 NA 1230 58 1238 59 100 1.63
