"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 63 5 19 NA NA NA
"ku" "kd" 223 6 24 1 NA NA
"ku" "ku" 1242 7 11 11 1 4
"p" "kd" 545 2 32 9 NA 2
"p" "ku" 1640 8 1 8 3 1
"p" "p" 5305 13 14 108 2 5
"td" "kd" 59 NA 13 13 1 NA
"td" "ku" 56 NA NA NA 2 NA
"td" "p" 658 NA 7 11 33 NA
"td" "td" 255 NA NA 2 NA 13
"tu" "kd" 96 NA 5 2 NA 1
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 498 1 2 11 NA NA
"tu" "td" 129 NA NA 1 NA 3
"tu" "tu" 3244 NA NA 7 6 1
"kd" "kd" 38 4 6 NA NA NA
"ku" "kd" 177 1 25 6 1 NA
"ku" "ku" 1104 6 11 11 2 2
"p" "kd" 488 NA 25 4 1 NA
"p" "ku" 1490 1 1 10 NA NA
"p" "p" 5245 3 12 106 5 3
"td" "kd" 62 NA 5 3 1 NA
"td" "ku" 53 NA 1 3 2 1
"td" "p" 726 NA 3 4 61 1
"td" "td" 171 NA NA 9 NA 2
"tu" "kd" 95 NA NA NA NA NA
"tu" "p" 500 NA NA 1 NA 1
"tu" "td" 107 NA NA 1 NA 7
"tu" "tu" 3453 NA NA 9 NA 6
"kd" "kd" 58 4 5 NA NA NA
"ku" "kd" 213 NA 14 14 1 NA
"ku" "ku" 1193 10 14 14 1 2
"p" "kd" 454 3 14 16 NA NA
"p" "ku" 1367 8 4 17 1 2
"p" "p" 5281 2 11 100 1 3
"td" "kd" 50 NA 1 NA 2 NA
"td" "ku" 59 NA 1 NA 3 NA
"td" "p" 665 NA NA 3 20 NA
"td" "td" 172 NA NA NA 6 15
"tu" "kd" 106 NA 1 2 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 502 NA NA 3 NA NA
"tu" "td" 110 NA NA NA NA 11
"tu" "tu" 3041 1 3 6 3 2
"kd" "kd" 39 6 14 11 NA NA
