"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "tdkd" "tdku" "tuku"
12 32 94 45 79 332 39 31 11 40 6 162 NA NA NA
10 12 77 39 85 368 24 3 8 23 4 149 3 1 NA
2 19 68 51 95 376 47 12 5 34 2 151 3 3 NA
4 22 89 50 89 343 33 1 11 11 5 173 NA 3 NA
26 27 68 36 91 362 31 1 6 35 1 137 7 1 NA
4 24 71 30 115 390 37 NA 9 16 2 135 2 4 NA
5 15 94 44 99 368 24 2 9 13 5 119 1 1 NA
5 14 97 46 131 369 38 17 8 34 1 154 1 3 NA
10 28 91 47 104 365 34 7 11 29 4 168 7 1 NA
1 18 69 47 107 342 26 1 5 22 6 150 1 1 NA
NA 15 83 42 113 368 35 2 6 25 3 162 3 6 NA
13 24 65 41 41 385 51 NA 5 21 1 131 7 1 1
26 21 88 52 140 389 40 20 15 14 5 131 4 1 NA
2 19 80 41 108 350 44 18 13 31 3 179 NA 2 NA
24 29 78 48 87 347 30 4 9 19 5 152 1 2 NA
12 22 77 35 108 365 39 NA 9 19 7 165 2 NA NA
NA 5 80 28 97 352 36 NA 8 25 3 145 2 NA NA
15 17 77 38 93 380 37 2 6 38 4 153 15 1 NA
22 23 92 36 113 361 23 7 8 25 1 156 1 1 NA
7 27 95 44 77 373 31 17 7 28 5 154 NA NA 1
2 13 87 33 88 399 42 2 11 38 6 146 NA 5 NA
18 17 72 41 77 379 31 3 7 25 4 144 NA NA NA
13 13 81 45 124 357 29 15 7 33 3 162 1 1 NA
NA 11 83 41 100 374 24 16 12 27 12 154 1 1 NA
1 15 71 50 121 362 33 12 13 12 8 137 16 1 NA
12 20 95 48 112 380 29 3 6 35 7 155 NA 1 NA
1 5 67 35 92 379 18 4 4 20 3 161 5 NA NA
35 27 79 50 106 399 22 NA 4 26 3 170 NA NA NA
5 27 76 38 93 343 30 1 10 28 1 134 NA 1 NA
8 13 62 38 117 396 37 2 9 38 2 149 13 2 NA
8 23 77 50 97 359 33 2 10 19 1 166 5 5 NA
5 16 93 38 102 385 25 4 9 14 NA 141 3 NA NA
11 18 91 38 92 370 30 54 4 12 2 158 NA 1 NA
13 22 80 45 112 367 39 4 7 19 6 153 NA 1 NA
14 32 94 46 99 356 40 8 5 32 6 148 4 NA NA
