"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 10 3 10 3 100 4.4
"2" "kukd" 19 0.09 NA 0.97 NA 14 3 14 3 100 1.36
"3" "kuku" 15 0.19 NA 0.97 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 99 13 100 7 100 1.55
"5" "pku" 28 0.07 NA 0.97 NA 22 5 24 3 100 1.27
"6" "pp" 660 0 0 1 NA 441 10 442 10 100 1.5
"7" "tdkd" 14 0.23 NA 0.85 NA 11 4 11 4 100 1.27
"8" "tdku" 10 0.05 NA 0.99 NA 6 2 6 1 100 1.67
"9" "tdp" 206 0 0 1 NA 165 11 166 13 100 1.25
"10" "tdtd" 24 0.11 NA 0.93 NA 17 5 17 4 100 1.41
"11" "tukd" 5 0.52 NA 0.61 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.43 NA 0.9 NA 12 3 14 1 100 1.25
"14" "tutd" 5 0.89 NA 0.21 NA 8 2 8 1 100 0.62
"15" "tutu" 9 0.7 NA 1 NA 9 0 9 0 100 1
