"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.01 NA 1 NA 11 3 11 3 100 1.73
"2" "kukd" 139 0 0 1 NA 97 17 99 15 100 1.43
"3" "kuku" 876 0 0 1 NA 588 43 588 44 100 1.49
"4" "pkd" 299 0 0 1 NA 254 14 254 16 100 1.18
"5" "pku" 1102 0.02 NA 0.98 NA 971 63 974 63 100 1.13
"6" "pp" 4469 0 0 1 NA 3512 84 3510 99 100 1.27
"7" "tdkd" 12 0.8 NA 0.24 NA 15 4 16 4 100 0.8
"8" "tdku" 18 0.64 NA 0.4 NA 20 7 20 6 100 0.9
"9" "tdp" 325 0.85 NA 0.15 NA 342 17 342 19 100 0.95
"10" "tdtd" 10 0.97 NA 0.04 NA 16 4 16 4 100 0.62
"11" "tukd" 48 0.8 NA 0.24 NA 54 9 54 9 100 0.89
"12" "tuku" 1 0.38 NA 0.79 NA 1 1 0 0 100 1
"13" "tup" 297 0.66 NA 0.36 NA 310 33 310 28 100 0.96
"14" "tutd" 66 0.56 NA 0.46 NA 66 12 67 12 100 1
"15" "tutu" 2397 0 0 1 NA 1553 74 1558 73 100 1.54
