"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 100 3.08
"2" "kukd" 21 0.01 NA 1 NA 14 4 15 3 100 1.5
"3" "kuku" 12 0.12 NA 1 NA 10 1 10 1 100 1.2
"4" "pkd" 128 0 0 1 NA 80 9 81 9 100 1.6
"5" "pku" 12 0.76 NA 0.24 NA 17 4 19 3 100 0.71
"6" "pp" 193 0 0 1 NA 120 6 120 6 100 1.61
"7" "tdkd" 28 0.23 NA 0.8 NA 22 7 22 7 100 1.27
"8" "tdku" 10 0.1 NA 0.94 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.03 NA 0.99 NA 83 11 84 9 100 1.2
"10" "tdtd" 34 0.26 NA 0.8 NA 29 7 29 7 100 1.17
"11" "tukd" 8 0.65 NA 0.48 NA 8 2 9 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.0600000000000001 NA 0.97 NA 15 3 15 3 100 1.27
"14" "tutd" 4 1 NA 0.03 NA 10 3 10 3 100 0.4
"15" "tutu" 11 0.35 NA 0.92 NA 10 1 10 1 100 1.1
