"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.07 NA 0.97 NA 10 3 10 3 100 1.5
"2" "kukd" 104 0 0 1 NA 70 12 71 10 100 1.49
"3" "kuku" 613 0 0 1 NA 403 32 408 33 100 1.52
"4" "pkd" 187 0 0 1 NA 129 16 131 13 100 1.45
"5" "pku" 722 0 0 1 NA 510 45 506 44 100 1.42
"6" "pp" 1764 0 0 1 NA 1369 45 1374 42 100 1.29
"7" "tdkd" 16 0.61 NA 0.47 NA 16 5 17 4 100 1
"8" "tdku" 39 0.03 NA 1 NA 20 8 19 9 100 1.95
"9" "tdp" 298 0 0 1 NA 252 23 254 12 100 1.18
"10" "tdtd" 21 0.87 NA 0.16 NA 27 5 26 4 100 0.78
"11" "tukd" 26 0.63 NA 0.44 NA 28 7 27 7 100 0.93
"12" "tuku" 0 1 NA 0.73 NA 0 1 0 0 100 NA
"13" "tup" 177 0.05 NA 0.95 NA 142 22 140 20 100 1.25
"14" "tutd" 62 0.36 NA 0.66 NA 58 14 57 13 100 1.07
"15" "tutu" 1075 0 0 1 NA 782 50 784 40 100 1.37
