"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 100 4
"2" "kukd" 19 0.0600000000000001 NA 1 NA 13 4 14 3 100 1.46
"3" "kuku" 15 0.15 NA 0.99 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 101 9 101 9 100 1.51
"5" "pku" 28 0.1 NA 0.97 NA 22 6 25 3 100 1.27
"6" "pp" 660 0 0 1 NA 440 11 441 10 100 1.5
"7" "tdkd" 14 0.21 NA 0.81 NA 11 4 10 4 100 1.27
"8" "tdku" 10 0.0600000000000001 NA 0.98 NA 6 2 6 3 100 1.67
"9" "tdp" 206 0 0 1 NA 166 15 166 12 100 1.24
"10" "tdtd" 24 0.15 NA 0.87 NA 18 6 19 6 100 1.33
"11" "tukd" 5 0.6 NA 0.66 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.36 NA 0.89 NA 12 4 13 3 100 1.25
"14" "tutd" 5 0.92 NA 0.13 NA 8 2 8 1 100 0.62
"15" "tutu" 9 0.67 NA 1 NA 9 1 9 0 100 1
