"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.05 NA 0.97 NA 11 3 11 3 100 1.73
"2" "kukd" 139 0 0 1 NA 97 14 96 15 100 1.43
"3" "kuku" 876 0 0 1 NA 583 42 583 42 100 1.5
"4" "pkd" 299 0.01 NA 0.99 NA 254 22 253 16 100 1.18
"5" "pku" 1102 0.01 NA 0.99 NA 961 76 958 55 100 1.15
"6" "pp" 4469 0 0 1 NA 3505 76 3508 82 100 1.28
"7" "tdkd" 12 0.78 NA 0.3 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.66 NA 0.4 NA 20 7 20 7 100 0.9
"9" "tdp" 325 0.91 NA 0.09 NA 348 18 347 15 100 0.93
"10" "tdtd" 10 0.96 NA 0.09 NA 17 4 17 4 100 0.59
"11" "tukd" 48 0.75 NA 0.27 NA 54 10 54 10 100 0.89
"12" "tuku" 1 0.46 NA 0.79 NA 1 1 0 0 100 1
"13" "tup" 297 0.73 NA 0.31 NA 313 36 310 30 100 0.95
"14" "tutd" 66 0.49 NA 0.54 NA 67 13 65 10 100 0.99
"15" "tutu" 2397 0 0 1 NA 1558 80 1550 73 100 1.54
