"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 5 11 4 100 3.08
"2" "kukd" 21 0.03 NA 1 NA 13 4 14 4 100 1.62
"3" "kuku" 12 0.18 NA 0.96 NA 11 1 11 1 100 1.09
"4" "pkd" 128 0 0 1 NA 80 9 80 7 100 1.6
"5" "pku" 12 0.81 NA 0.19 NA 18 4 19 3 100 0.67
"6" "pp" 193 0 0 1 NA 121 6 121 6 100 1.6
"7" "tdkd" 28 0.19 NA 0.84 NA 21 7 20 7 100 1.33
"8" "tdku" 10 0.15 NA 0.93 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.01 NA 0.99 NA 81 15 84 9 100 1.23
"10" "tdtd" 34 0.23 NA 0.8 NA 29 7 30 7 100 1.17
"11" "tukd" 8 0.67 NA 0.44 NA 8 2 9 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.05 NA 1 NA 14 4 15 3 100 1.36
"14" "tutd" 4 1 NA 0.01 NA 10 3 10 3 100 0.4
"15" "tutu" 11 0.36 NA 0.92 NA 10 1 10 1 100 1.1
