"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 52 4 10 NA NA NA
"ku" "kd" 216 3 21 5 NA NA
"ku" "ku" 1198 5 8 19 1 NA
"p" "kd" 463 NA 23 43 NA NA
"p" "ku" 1570 5 1 22 NA 1
"p" "p" 5343 4 13 151 NA 1
"td" "kd" 57 NA 13 NA NA NA
"td" "ku" 37 NA 1 NA 1 NA
"td" "p" 682 NA 1 5 17 NA
"td" "td" 144 NA NA NA 9 15
"tu" "kd" 112 1 2 1 NA NA
"tu" "ku" 7 NA NA NA NA NA
"tu" "p" 493 NA 1 9 NA NA
"tu" "td" 132 NA NA NA NA 12
"tu" "tu" 3145 NA 1 12 4 3
"kd" "kd" 40 22 31 NA NA NA
"ku" "kd" 227 10 36 3 NA NA
"ku" "ku" 1272 13 16 12 2 2
"p" "kd" 425 5 23 7 NA NA
"p" "ku" 1389 3 4 19 1 NA
"p" "p" 5138 4 15 119 2 1
"td" "kd" 87 NA 2 NA 1 NA
"td" "ku" 51 NA 1 NA 1 NA
"td" "p" 580 NA NA 5 19 2
"td" "td" 124 NA NA NA 2 12
"tu" "kd" 91 NA 3 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 474 NA NA 2 NA 1
"tu" "td" 140 NA NA NA NA 8
"tu" "tu" 3234 NA 2 12 3 3
"kd" "kd" 43 6 1 NA NA NA
"ku" "kd" 241 6 15 2 NA NA
"ku" "ku" 1266 10 10 10 1 1
"p" "kd" 466 NA 22 35 NA NA
"p" "ku" 1493 3 6 16 NA NA
"p" "p" 5314 4 9 149 1 1
"td" "kd" 49 NA 6 NA NA NA
"td" "ku" 43 NA NA 1 2 NA
"td" "p" 676 NA 1 3 28 1
"td" "td" 188 NA NA NA 23 4
"tu" "kd" 108 1 2 NA NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 463 NA NA 3 NA NA
"tu" "td" 109 NA NA 1 1 12
"tu" "tu" 3269 NA NA 14 2 7
"kd" "kd" 41 18 18 15 NA NA
"ku" "kd" 233 5 20 7 NA NA
"ku" "ku" 1179 20 15 14 2 NA
"p" "kd" 523 5 30 21 NA NA
"p" "ku" 1635 12 6 14 NA 2
"p" "p" 5415 7 18 98 1 3
"td" "kd" 57 NA NA NA 1 NA
"td" "ku" 45 NA NA NA NA NA
"td" "p" 671 NA NA 3 29 1
"td" "td" 252 NA NA NA NA 5
"tu" "kd" 138 NA 1 NA NA NA
"tu" "p" 525 NA 1 7 1 NA
"tu" "td" 110 NA NA NA NA 8
"tu" "tu" 2991 NA NA 4 NA 7
"kd" "kd" 50 36 24 NA NA NA
"ku" "kd" 246 15 20 6 NA NA
"ku" "ku" 1177 13 14 12 NA NA
"p" "kd" 515 13 26 12 NA NA
"p" "ku" 1531 10 7 15 4 NA
"p" "p" 5371 4 13 123 NA NA
"td" "kd" 45 NA 2 2 NA NA
"td" "ku" 46 NA 2 1 3 NA
"td" "p" 683 NA 1 3 29 NA
"td" "td" 165 NA NA NA 3 1
"tu" "kd" 109 NA 1 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 479 NA NA 5 NA 1
"tu" "td" 106 1 NA NA NA 3
"tu" "tu" 3208 NA NA 11 NA 1
"kd" "kd" 32 6 NA 1 NA NA
"ku" "kd" 233 5 24 7 1 NA
"ku" "ku" 1256 9 12 25 3 3
"p" "kd" 480 1 28 13 NA NA
"p" "ku" 1695 8 2 21 1 4
"p" "p" 5260 7 7 119 14 1
"td" "kd" 57 NA NA NA 1 NA
"td" "ku" 42 NA 2 1 2 NA
"td" "p" 639 NA 4 3 34 NA
"td" "td" 159 NA NA NA 1 NA
"tu" "kd" 106 NA 3 1 NA NA
"tu" "ku" 7 NA NA NA NA NA
"tu" "p" 475 NA NA 1 1 2
"tu" "td" 129 NA NA NA NA 10
"tu" "tu" 3112 NA NA 9 6 7
"kd" "kd" 34 5 14 NA NA NA
"ku" "kd" 185 3 23 12 NA NA
"ku" "ku" 1136 5 9 10 2 1
"p" "kd" 434 1 18 16 NA NA
"p" "ku" 1410 7 3 12 1 1
"p" "p" 5350 1 5 153 1 2
"td" "kd" 82 NA NA NA 2 NA
"td" "ku" 21 NA NA NA NA NA
"td" "p" 684 NA NA 3 17 NA
"td" "td" 166 NA NA NA NA 1
"tu" "kd" 102 NA 1 2 NA NA
"tu" "p" 454 NA NA 7 NA NA
"tu" "td" 119 NA NA 1 NA 5
"tu" "tu" 3380 NA NA 9 2 6
"kd" "kd" 56 11 25 3 NA NA
"ku" "kd" 206 9 36 7 NA NA
"ku" "ku" 1141 17 16 13 1 2
"p" "kd" 508 6 25 29 1 NA
"p" "ku" 1401 9 1 19 1 1
