"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.02 NA 0.98 NA 23 5 22 5 50 1.43
"2" "kukd" 305 0 0 1 NA 199 24 202 17 50 1.53
"3" "kuku" 1719 0 0 1 NA 1135 54 1133 54 50 1.51
"4" "pkd" 538 0 0 1 NA 407 22 406 26 50 1.32
"5" "pku" 2067 0 0 1 NA 1539 76 1530 60 50 1.34
"6" "pp" 6202 0 0 1 NA 4755 87 4758 105 50 1.3
"7" "tdkd" 35 0.44 NA 0.66 NA 32 8 34 8 50 1.09
"8" "tdku" 52 0.0600000000000001 NA 0.96 NA 39 9 38 7 50 1.33
"9" "tdp" 545 0.18 NA 0.84 NA 526 22 524 18 50 1.04
"10" "tdtd" 44 0.66 NA 0.36 NA 46 7 46 8 50 0.96
"11" "tukd" 102 0.54 NA 0.48 NA 104 13 104 14 50 0.98
"12" "tuku" 1 0.64 NA 0.66 NA 1 2 1 1 50 1
"13" "tup" 541 0.1 NA 0.92 NA 497 31 494 29 50 1.09
"14" "tutd" 114 0.64 NA 0.36 NA 120 21 122 20 50 0.95
"15" "tutu" 4146 0 0 1 NA 3034 109 3028 87 50 1.37
