"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.0600000000000001 NA 0.98 NA 24 4 23 5 50 1.38
"2" "kukd" 305 0 0 1 NA 199 28 202 19 50 1.53
"3" "kuku" 1719 0 0 1 NA 1145 58 1154 66 50 1.5
"4" "pkd" 538 0 0 1 NA 402 35 406 17 50 1.34
"5" "pku" 2067 0 0 1 NA 1549 78 1560 82 50 1.33
"6" "pp" 6202 0 0 1 NA 4766 108 4755 101 50 1.3
"7" "tdkd" 35 0.28 NA 0.74 NA 31 7 32 7 50 1.13
"8" "tdku" 52 0.14 NA 0.88 NA 40 11 38 9 50 1.3
"9" "tdp" 545 0.14 NA 0.86 NA 523 21 524 21 50 1.04
"10" "tdtd" 44 0.78 NA 0.24 NA 47 5 48 4 50 0.94
"11" "tukd" 102 0.72 NA 0.34 NA 110 14 107 10 50 0.93
"12" "tuku" 1 0.72 NA 0.72 NA 1 2 1 1 50 1
"13" "tup" 541 0.12 NA 0.9 NA 493 49 494 32 50 1.1
"14" "tutd" 114 0.64 NA 0.38 NA 120 15 120 17 50 0.95
"15" "tutu" 4146 0 0 1 NA 3031 116 3042 114 50 1.37
