"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdku" "tdp" "tukd" "tup" "tutd" "tutu" "tdtd" "tuku"
9 27 78 41 74 357 2 1 27 10 30 5 163 NA NA
2 22 97 44 101 379 NA NA 32 10 33 5 140 NA NA
15 28 81 48 113 370 6 2 38 13 31 5 158 33 NA
17 28 85 52 93 393 3 1 27 12 24 4 120 NA NA
5 23 81 40 116 439 1 1 35 9 22 5 144 3 NA
11 34 105 30 109 359 NA 1 35 11 18 5 160 6 NA
6 24 87 32 84 383 5 1 33 8 27 2 150 1 NA
5 15 93 44 115 358 2 NA 32 5 29 3 138 4 NA
18 25 72 20 86 392 5 3 19 3 26 3 154 16 NA
9 10 69 41 96 394 NA 2 33 9 15 5 170 17 NA
6 27 84 47 107 325 2 2 35 12 37 3 155 8 NA
7 19 82 48 130 396 5 2 25 10 25 3 121 4 NA
10 14 104 48 99 386 4 3 31 4 26 6 154 13 NA
6 23 77 56 87 365 2 3 28 4 24 7 187 17 NA
12 31 90 45 95 385 2 3 34 5 29 NA 173 8 NA
7 26 78 33 90 366 1 1 32 10 23 5 159 3 NA
9 23 68 46 117 323 2 1 26 8 19 4 168 NA NA
6 17 83 38 124 366 1 1 35 5 31 4 161 7 NA
10 17 70 33 69 344 8 1 15 5 26 5 130 1 NA
13 22 78 36 89 357 NA 1 28 2 31 9 118 3 NA
9 23 78 44 76 353 NA 3 32 8 32 1 140 2 NA
NA 12 82 31 99 345 3 1 33 8 20 3 155 NA 1
NA 8 78 37 99 389 4 NA 39 2 15 6 147 9 NA
10 23 58 44 103 370 7 6 36 8 21 3 154 NA NA
3 14 88 33 92 397 NA 1 32 8 26 6 152 NA NA
7 27 87 51 95 387 NA NA 37 5 15 5 142 4 NA
1 9 82 64 84 369 3 NA 24 3 31 3 141 NA NA
3 10 91 30 94 340 NA 2 40 5 27 3 168 NA NA
7 23 76 29 103 378 1 1 34 11 30 5 180 6 NA
3 23 66 36 111 373 2 NA 36 4 32 2 147 2 NA
5 28 93 44 97 382 5 1 26 7 27 5 155 3 NA
18 28 85 76 77 411 5 2 33 8 15 3 165 6 1
6 20 93 47 91 340 NA 1 23 15 30 5 160 18 NA
19 33 84 55 94 383 10 3 34 8 19 5 153 NA NA
4 15 77 51 98 391 1 1 31 3 23 5 134 6 NA
5 24 88 45 108 411 14 5 27 8 19 4 130 4 NA
28 20 88 31 94 358 1 5 36 5 23 5 152 16 1
11 23 77 46 96 406 NA 1 41 10 19 3 135 12 NA
NA 14 88 50 101 357 2 1 33 14 31 2 161 2 NA
4 25 85 46 108 379 NA 2 22 3 30 3 168 12 NA
11 32 87 49 91 362 4 1 23 9 29 3 163 NA NA
13 25 70 20 84 428 1 3 29 9 28 5 139 5 NA
10 27 85 54 113 369 NA 1 36 7 27 5 145 7 NA
16 19 83 35 107 355 2 1 23 11 22 5 153 3 NA
15 25 87 41 115 410 3 1 37 7 26 4 158 7 NA
9 16 78 39 99 368 6 1 30 10 40 5 156 4 NA
20 28 79 56 119 345 NA 1 34 11 21 6 122 NA NA
14 21 78 40 85 389 2 NA 34 4 29 6 138 3 1
19 24 75 53 93 332 5 NA 28 6 26 3 148 15 1
12 25 63 21 101 345 2 NA 29 6 26 2 134 4 NA
33 31 73 48 96 388 NA NA 34 5 22 4 141 6 NA
7 33 86 39 116 413 1 NA 27 9 27 4 150 8 NA
22 25 70 43 91 377 2 NA 20 6 11 4 135 NA NA
18 15 83 47 90 338 4 1 20 7 29 4 135 8 NA
3 19 76 40 107 366 1 NA 30 7 28 3 123 5 NA
10 24 76 35 104 390 7 3 38 7 24 5 162 NA NA
29 32 71 53 88 374 20 2 30 7 19 1 166 8 NA
