"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 37 12 36 11 100 3.49
"2" "kukd" 316 0 0 1 NA 109 18 107 16 100 2.9
"3" "kuku" 1097 0 0 1 NA 312 30 309 33 100 3.52
"4" "pkd" 612 0 0 1 NA 80 13 83 12 100 7.65
"5" "pku" 1177 0 0 1 NA 259 36 260 22 100 4.54
"6" "pp" 13890 0 0 1 NA 471 34 472 40 100 29.49
"7" "tdkd" 28 0.02 NA 0.98 NA 11 6 10 5 100 2.55
"8" "tdku" 50 0 0 1 NA 8 5 7 6 100 6.25
"9" "tdp" 592 0 0 1 NA 64 11 64 10 100 9.25
"10" "tdtd" 41 0 0 1 NA 15 5 15 6 100 2.73
"11" "tukd" 17 0.01 NA 0.99 NA 8 3 8 4 100 2.12
"12" "tuku" 0 1 NA 0.96 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 26 8 26 7 100 6.65
"14" "tutd" 21 0.08 NA 0.93 NA 14 5 14 4 100 1.5
"15" "tutu" 353 0 0 1 NA 69 11 68 9 100 5.12
