"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 43 14 40 13 100 4.21
"2" "kukd" 330 0 0 1 NA 174 20 174 21 100 1.9
"3" "kuku" 1611 0 0 1 NA 881 53 877 49 100 1.83
"4" "pkd" 836 0 0 1 NA 340 31 341 27 100 2.46
"5" "pku" 1768 0 0 1 NA 1081 88 1088 62 100 1.64
"6" "pp" 16104 0 0 1 NA 3201 102 3210 116 100 5.03
"7" "tdkd" 40 0.32 NA 0.7 NA 35 11 35 12 100 1.14
"8" "tdku" 39 0.04 NA 0.98 NA 24 7 23 7 100 1.62
"9" "tdp" 885 0 0 1 NA 386 33 385 27 100 2.29
"10" "tdtd" 99 0.15 NA 0.86 NA 76 21 74 21 100 1.3
"11" "tukd" 57 0.63 NA 0.41 NA 60 9 59 9 100 0.95
"12" "tuku" 1 0.64 NA 0.74 NA 1 2 1 1 100 1
"13" "tup" 329 0 0 1 NA 234 24 234 17 100 1.41
"14" "tutd" 62 0.43 NA 0.63 NA 58 12 58 12 100 1.07
"15" "tutu" 1650 0 0 1 NA 1044 58 1039 67 100 1.58
