"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 58 17 57 18 100 3.69
"2" "kukd" 438 0 0 1 NA 245 24 244 24 100 1.79
"3" "kuku" 2103 0 0 1 NA 1249 60 1246 64 100 1.68
"4" "pkd" 981 0 0 1 NA 520 35 516 33 100 1.89
"5" "pku" 2297 0 0 1 NA 1556 113 1570 81 100 1.48
"6" "pp" 18008 0 0 1 NA 5454 112 5462 105 100 3.3
"7" "tdkd" 88 0.09 NA 0.92 NA 64 19 64 16 100 1.38
"8" "tdku" 76 0 0 1 NA 40 11 40 12 100 1.9
"9" "tdp" 1205 0 0 1 NA 691 40 692 37 100 1.74
"10" "tdtd" 231 0.12 NA 0.88 NA 184 39 184 37 100 1.26
"11" "tukd" 111 0.52 NA 0.51 NA 109 17 111 15 100 1.02
"12" "tuku" 1 0.64 NA 0.71 NA 1 2 1 1 100 1
"13" "tup" 583 0.03 NA 0.98 NA 495 36 494 30 100 1.18
"14" "tutd" 123 0.53 NA 0.48 NA 123 18 124 16 100 1
"15" "tutu" 4391 0 0 1 NA 3142 99 3146 105 100 1.4
