"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 34 28 28 NA NA NA
"ku" "kd" 208 9 28 3 NA NA
"ku" "ku" 1307 7 17 8 2 3
"p" "kd" 464 22 36 7 NA NA
"p" "ku" 1603 10 5 24 NA 1
"p" "p" 5480 16 18 122 1 5
"td" "kd" 48 NA NA NA NA NA
"td" "ku" 41 NA NA NA 2 NA
"td" "p" 636 NA NA NA 36 1
"td" "td" 158 NA NA NA 3 2
"tu" "kd" 113 2 5 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 509 1 1 1 2 NA
"tu" "td" 105 NA NA NA NA 3
"tu" "tu" 3298 NA 1 9 1 3
"kd" "kd" 32 4 42 NA NA NA
"ku" "kd" 221 6 23 5 NA NA
"ku" "ku" 1286 3 15 16 1 NA
"p" "kd" 457 17 24 24 NA NA
"p" "ku" 1523 7 1 16 NA 1
"p" "p" 5433 3 19 119 2 2
"td" "kd" 57 NA 5 NA NA NA
"td" "ku" 38 NA 1 1 3 NA
"td" "p" 606 1 2 11 26 1
"td" "td" 110 NA NA NA 5 4
"tu" "kd" 111 NA 5 1 NA NA
"tu" "ku" 5 NA NA NA NA NA
"tu" "p" 458 NA NA 2 1 NA
"tu" "td" 92 NA NA 1 NA 2
"tu" "tu" 3077 NA NA 11 NA 5
"kd" "kd" 37 6 3 2 NA NA
"ku" "kd" 190 1 18 11 NA NA
"ku" "ku" 1170 4 8 17 1 NA
"p" "kd" 421 2 30 13 NA NA
"p" "ku" 1432 3 3 29 NA 1
"p" "p" 5187 2 22 137 3 2
"td" "kd" 39 NA 1 NA 1 NA
"td" "ku" 40 NA NA NA 1 NA
"td" "p" 688 NA NA 2 16 1
"td" "td" 198 NA NA 2 6 12
"tu" "kd" 113 NA 2 1 NA NA
"tu" "p" 517 NA NA 1 NA NA
"tu" "td" 122 NA NA NA NA 12
"tu" "tu" 3098 NA NA 7 2 4
"kd" "kd" 58 5 32 NA NA NA
"ku" "kd" 178 4 32 9 NA NA
"ku" "ku" 1130 15 16 13 4 1
"p" "kd" 482 10 27 40 NA NA
"p" "ku" 1545 5 3 21 1 2
"p" "p" 5624 4 17 154 7 5
"td" "kd" 51 NA 8 NA NA NA
"td" "ku" 33 NA NA NA 1 NA
"td" "p" 666 NA 3 4 38 1
"td" "td" 155 NA NA 2 45 NA
"tu" "kd" 108 NA 3 1 NA NA
"tu" "ku" 5 NA NA 1 NA NA
"tu" "p" 450 NA NA 9 NA NA
"tu" "td" 125 NA NA NA 1 7
"tu" "tu" 3258 NA 4 17 3 3
"kd" "kd" 40 10 17 4 NA NA
"ku" "kd" 103 13 27 16 1 NA
"ku" "ku" 1235 13 9 19 3 2
"p" "kd" 563 5 29 13 NA NA
"p" "ku" 1652 12 12 15 1 3
"p" "p" 5328 4 16 94 2 2
"td" "kd" 76 NA 1 22 NA NA
"td" "ku" 47 NA NA 1 3 NA
"td" "p" 688 NA 1 12 34 NA
"td" "td" 174 NA NA 1 NA NA
"tu" "kd" 109 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 513 1 1 1 NA NA
"tu" "td" 116 NA NA 1 NA 10
"tu" "tu" 3094 NA NA 5 1 2
"kd" "kd" 64 4 1 NA NA NA
"ku" "kd" 204 NA 18 7 NA NA
"ku" "ku" 1196 14 7 10 NA 5
"p" "kd" 503 NA 31 20 1 NA
"p" "ku" 1643 5 2 14 1 2
"p" "p" 5363 9 14 129 5 5
"td" "kd" 69 NA 10 NA 7 NA
"td" "ku" 44 NA 1 1 1 NA
"td" "p" 691 NA 5 23 61 NA
"td" "td" 281 NA NA NA 2 11
"tu" "kd" 83 NA 2 1 NA NA
"tu" "p" 455 NA 1 6 1 NA
"tu" "td" 159 NA NA 4 NA 15
"tu" "tu" 2960 NA 1 13 6 10
"kd" "kd" 36 9 12 NA NA NA
"ku" "kd" 281 9 28 2 NA NA
"ku" "ku" 1210 11 15 11 NA 2
"p" "kd" 535 3 24 10 1 NA
"p" "ku" 1471 8 3 16 1 2
"p" "p" 5472 3 14 112 4 3
"td" "kd" 50 NA NA NA NA NA
"td" "ku" 59 NA NA NA 3 NA
"td" "p" 628 NA NA 10 16 1
"td" "td" 135 NA NA NA 39 NA
"tu" "kd" 92 NA 1 1 NA NA
"tu" "ku" 5 NA NA NA NA NA
"tu" "p" 540 1 2 4 NA 1
"tu" "td" 98 NA NA 1 NA 9
"tu" "tu" 2931 NA 3 8 6 4
"kd" "kd" 47 3 32 NA NA NA
"ku" "kd" 250 7 29 5 NA NA
"ku" "ku" 1120 15 13 15 1 1
"p" "kd" 451 5 24 14 NA NA
