"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 5 11 4 100 3.08
"2" "kukd" 21 0.18 NA 0.89 NA 18 3 17 3 100 1.17
"3" "kuku" 16 0.3 NA 0.87 NA 15 1 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 72 8 73 7 100 1.39
"5" "pku" 31 0.12 NA 0.96 NA 24 6 26 4 100 1.29
"6" "pp" 227 0 0 1 NA 163 6 162 6 100 1.39
"7" "tdkd" 12 0.55 NA 0.55 NA 12 4 12 4 100 1
"8" "tdku" 5 0.27 NA 0.85 NA 4 2 3 1 100 1.25
"9" "tdp" 93 0.03 NA 0.98 NA 76 10 77 7 100 1.22
"10" "tdtd" 22 0.29 NA 0.81 NA 19 5 19 4 100 1.16
"11" "tukd" 16 0.85 NA 0.15 NA 21 5 22 4 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0 0 1 NA 33 8 36 4 100 1.33
"14" "tutd" 8 0.99 NA 0.02 NA 21 4 21 4 100 0.38
"15" "tutu" 30 0.0600000000000001 NA 0.97 NA 27 2 26 1 100 1.11
