"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.03 NA 0.99 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0.01 NA 0.99 NA 71 11 70 10 100 1.46
"3" "kuku" 613 0 0 1 NA 404 28 406 33 100 1.52
"4" "pkd" 187 0 0 1 NA 131 11 128 10 100 1.43
"5" "pku" 722 0 0 1 NA 501 44 503 41 100 1.44
"6" "pp" 1764 0 0 1 NA 1376 52 1378 54 100 1.28
"7" "tdkd" 16 0.57 NA 0.55 NA 16 5 16 4 100 1
"8" "tdku" 39 0.01 NA 1 NA 19 8 19 7 100 2.05
"9" "tdp" 298 0.01 NA 1 NA 253 28 259 18 100 1.18
"10" "tdtd" 21 0.83 NA 0.18 NA 26 5 26 4 100 0.81
"11" "tukd" 26 0.74 NA 0.3 NA 30 7 30 6 100 0.87
"12" "tuku" 0 1 NA 0.7 NA 0 1 0 0 100 NA
"13" "tup" 177 0.04 NA 0.96 NA 144 17 143 13 100 1.23
"14" "tutd" 62 0.28 NA 0.75 NA 57 13 56 9 100 1.09
"15" "tutu" 1075 0 0 1 NA 776 40 772 35 100 1.39
