"group" "motif_type" "counts" "total_count"
"1" "others" 2 79
"1" "others" 3 26
"1" "others" 4 14
"1" "others" 5 5
"1" "others" 6 2
"1" "others" 7 3
"1" "others" 9 4
"1" "others" 10 2
"1" "others" 11 1
"1" "others" 12 2
"1" "others" 13 2
"1" "others" 15 1
"1" "others" 24 1
"1" "protein_complexes" 2 397
"1" "protein_complexes" 3 81
"1" "protein_complexes" 4 34
"1" "protein_complexes" 5 7
"1" "protein_complexes" 6 6
"1" "protein_complexes" 7 2
"1" "protein_complexes" 8 1
"1" "regulatory_triplets" 2 190
"1" "regulatory_triplets" 3 37
"1" "regulatory_triplets" 4 6
"1" "regulatory_triplets" 5 5
"1" "regulatory_triplets" 6 2
"1" "regulatory_triplets" 7 1
"1" "regulatory_triplets" 8 2
"1" "signaling_triplets" 2 253
"1" "signaling_triplets" 3 54
"1" "signaling_triplets" 4 17
"1" "signaling_triplets" 5 6
"1" "signaling_triplets" 6 4
"1" "signaling_triplets" 7 1
"2" "others" 2 66
"2" "others" 3 22
"2" "others" 4 10
"2" "others" 5 10
"2" "others" 6 3
"2" "others" 7 5
"2" "others" 9 2
"2" "others" 10 2
"2" "others" 13 1
"2" "others" 15 1
"2" "others" 16 1
"2" "others" 21 3
"2" "protein_complexes" 2 422
"2" "protein_complexes" 3 67
"2" "protein_complexes" 4 18
"2" "protein_complexes" 5 9
"2" "protein_complexes" 6 7
"2" "protein_complexes" 7 3
"2" "regulatory_triplets" 2 201
"2" "regulatory_triplets" 3 34
"2" "regulatory_triplets" 4 9
"2" "regulatory_triplets" 5 5
"2" "regulatory_triplets" 6 3
"2" "regulatory_triplets" 7 1
"2" "regulatory_triplets" 8 1
"2" "regulatory_triplets" 17 1
"2" "signaling_triplets" 2 242
"2" "signaling_triplets" 3 56
"2" "signaling_triplets" 4 12
"2" "signaling_triplets" 5 4
"2" "signaling_triplets" 6 2
"2" "signaling_triplets" 7 3
"2" "signaling_triplets" 9 1
"2" "signaling_triplets" 12 1
"3" "others" 2 66
"3" "others" 3 23
"3" "others" 4 13
"3" "others" 5 5
"3" "others" 6 4
"3" "others" 8 2
"3" "others" 9 3
"3" "others" 10 3
"3" "others" 11 2
"3" "others" 16 1
"3" "protein_complexes" 2 423
"3" "protein_complexes" 3 72
"3" "protein_complexes" 4 11
"3" "protein_complexes" 5 6
"3" "protein_complexes" 6 5
"3" "protein_complexes" 8 2
"3" "protein_complexes" 10 1
"3" "regulatory_triplets" 2 172
"3" "regulatory_triplets" 3 40
"3" "regulatory_triplets" 4 14
"3" "regulatory_triplets" 5 3
"3" "regulatory_triplets" 6 1
"3" "regulatory_triplets" 11 1
"3" "signaling_triplets" 2 264
"3" "signaling_triplets" 3 46
"3" "signaling_triplets" 4 17
"3" "signaling_triplets" 5 10
"3" "signaling_triplets" 7 1
"3" "signaling_triplets" 8 1
"4" "others" 2 59
"4" "others" 3 24
"4" "others" 4 9
"4" "others" 6 1
"4" "others" 7 2
"4" "others" 8 6
"4" "others" 11 3
"4" "others" 15 1
"4" "others" 16 1
"4" "others" 17 1
"4" "protein_complexes" 2 372
"4" "protein_complexes" 3 69
"4" "protein_complexes" 4 23
"4" "protein_complexes" 5 7
"4" "protein_complexes" 6 1
"4" "protein_complexes" 7 3
"4" "protein_complexes" 8 1
"4" "regulatory_triplets" 2 195
"4" "regulatory_triplets" 3 27
"4" "regulatory_triplets" 4 12
"4" "regulatory_triplets" 5 4
"4" "regulatory_triplets" 6 2
"4" "regulatory_triplets" 7 1
"4" "regulatory_triplets" 8 1
"4" "signaling_triplets" 2 215
"4" "signaling_triplets" 3 36
"4" "signaling_triplets" 4 13
"4" "signaling_triplets" 5 2
"4" "signaling_triplets" 6 6
"4" "signaling_triplets" 8 3
"4" "signaling_triplets" 9 1
"4" "signaling_triplets" 10 1
"5" "others" 2 65
"5" "others" 3 19
"5" "others" 4 12
"5" "others" 5 3
"5" "others" 6 3
"5" "others" 7 4
"5" "others" 8 1
"5" "others" 9 1
"5" "others" 10 1
"5" "others" 15 1
"5" "others" 16 1
"5" "others" 22 1
"5" "others" 24 2
"5" "protein_complexes" 2 428
"5" "protein_complexes" 3 78
"5" "protein_complexes" 4 29
"5" "protein_complexes" 5 14
"5" "protein_complexes" 6 2
"5" "protein_complexes" 8 1
"5" "protein_complexes" 9 2
"5" "protein_complexes" 15 1
"5" "regulatory_triplets" 2 194
"5" "regulatory_triplets" 3 30
"5" "regulatory_triplets" 4 5
"5" "regulatory_triplets" 5 2
"5" "regulatory_triplets" 7 2
"5" "signaling_triplets" 2 222
"5" "signaling_triplets" 3 43
"5" "signaling_triplets" 4 14
"5" "signaling_triplets" 5 3
"5" "signaling_triplets" 6 1
"5" "signaling_triplets" 7 2
"5" "signaling_triplets" 9 2
"6" "others" 2 54
"6" "others" 3 21
"6" "others" 4 9
"6" "others" 5 6
"6" "others" 6 5
"6" "others" 7 2
"6" "others" 8 3
"6" "others" 9 2
"6" "others" 12 2
"6" "others" 25 1
"6" "others" 28 1
"6" "protein_complexes" 2 422
"6" "protein_complexes" 3 67
"6" "protein_complexes" 4 20
"6" "protein_complexes" 5 7
"6" "protein_complexes" 6 2
