"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 34 7 8 7 NA NA
"ku" "kd" 159 2 18 4 NA NA
"ku" "ku" 1240 11 12 6 1 2
"p" "kd" 443 5 50 40 NA NA
"p" "ku" 1545 3 9 15 NA 1
"p" "p" 5310 7 43 129 3 4
"td" "kd" 34 NA NA 1 4 NA
"td" "ku" 15 NA NA NA 1 NA
"td" "p" 688 NA NA 3 43 1
"td" "td" 141 NA NA 1 15 NA
"tu" "kd" 109 NA 3 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 534 1 NA 6 NA NA
"tu" "td" 135 NA NA NA NA 14
"tu" "tu" 3195 NA NA 13 4 3
"kd" "kd" 26 7 10 NA NA NA
"ku" "kd" 164 2 31 7 1 NA
"ku" "ku" 1272 15 9 6 NA 4
"p" "kd" 503 2 31 14 1 NA
"p" "ku" 1665 9 6 15 1 NA
"p" "p" 5328 3 15 81 5 NA
"td" "kd" 38 NA 10 2 NA NA
"td" "ku" 23 NA 1 NA NA NA
"td" "p" 686 NA 8 4 33 NA
"td" "td" 151 NA NA 2 2 NA
"tu" "kd" 105 NA 3 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 538 NA NA 1 1 NA
"tu" "td" 100 NA NA NA NA 8
"tu" "tu" 3217 NA NA 11 5 4
"kd" "kd" 32 12 6 6 NA NA
"ku" "kd" 96 5 28 8 NA NA
"ku" "ku" 1175 21 13 15 2 3
"p" "kd" 436 4 20 19 NA NA
"p" "ku" 1528 3 8 18 5 1
"p" "p" 5307 6 12 138 1 2
"td" "kd" 61 NA 14 NA 2 NA
"td" "ku" 56 NA 2 NA 4 NA
"td" "p" 584 NA 7 2 26 1
"td" "td" 174 NA NA NA 14 34
"tu" "kd" 123 NA 1 5 NA NA
"tu" "p" 255 NA 3 3 1 NA
"tu" "td" 102 NA NA 1 NA 6
"tu" "tu" 2909 NA 1 7 3 8
"kd" "kd" 26 6 5 NA NA NA
"ku" "kd" 184 1 14 5 1 NA
"ku" "ku" 1173 7 6 12 5 6
"p" "kd" 468 4 17 13 NA NA
"p" "ku" 1448 6 5 23 1 5
"p" "p" 5208 2 2 133 4 3
"td" "kd" 63 NA 1 2 3 NA
"td" "ku" 35 NA NA 1 NA NA
"td" "p" 640 NA NA 9 24 NA
"td" "td" 173 NA NA NA 9 4
"tu" "kd" 106 NA NA 4 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 463 NA NA 1 NA NA
