"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.02 NA 1 NA 24 4 24 4 50 1.38
"2" "kukd" 305 0 0 1 NA 203 21 204 16 50 1.5
"3" "kuku" 1719 0 0 1 NA 1155 52 1150 53 50 1.49
"4" "pkd" 538 0 0 1 NA 406 36 408 16 50 1.33
"5" "pku" 2067 0 0 1 NA 1536 81 1528 86 50 1.35
"6" "pp" 6202 0 0 1 NA 4762 85 4758 81 50 1.3
"7" "tdkd" 35 0.56 NA 0.54 NA 34 6 35 6 50 1.03
"8" "tdku" 52 0.1 NA 0.92 NA 38 9 36 8 50 1.37
"9" "tdp" 545 0.3 NA 0.7 NA 529 27 532 27 50 1.03
"10" "tdtd" 44 0.82 NA 0.18 NA 49 6 50 6 50 0.9
"11" "tukd" 102 0.6 NA 0.42 NA 104 11 106 11 50 0.98
"12" "tuku" 1 0.6 NA 0.72 NA 1 2 1 1 50 1
"13" "tup" 541 0.08 NA 0.92 NA 496 33 490 30 50 1.09
"14" "tutd" 114 0.62 NA 0.4 NA 117 13 118 13 50 0.97
"15" "tutu" 4146 0 0 1 NA 3043 114 3027 124 50 1.36
