"group" "motif_type" "counts" "total_count"
"1" "others" 2 64
"1" "others" 3 21
"1" "others" 4 12
"1" "others" 5 7
"1" "others" 6 3
"1" "others" 7 3
"1" "others" 9 1
"1" "others" 12 1
"1" "others" 13 1
"1" "others" 14 1
"1" "others" 20 1
"1" "others" 22 1
"1" "others" 24 1
"1" "others" 37 1
"1" "protein_complexes" 2 398
"1" "protein_complexes" 3 71
"1" "protein_complexes" 4 19
"1" "protein_complexes" 5 9
"1" "protein_complexes" 6 2
"1" "protein_complexes" 7 2
"1" "protein_complexes" 11 1
"1" "regulatory_triplets" 2 169
"1" "regulatory_triplets" 3 31
"1" "regulatory_triplets" 4 10
"1" "regulatory_triplets" 5 3
"1" "regulatory_triplets" 6 2
"1" "regulatory_triplets" 7 1
"1" "regulatory_triplets" 8 2
"1" "regulatory_triplets" 17 1
"1" "signaling_triplets" 2 202
"1" "signaling_triplets" 3 40
"1" "signaling_triplets" 4 13
"1" "signaling_triplets" 5 1
"1" "signaling_triplets" 6 3
"1" "signaling_triplets" 9 1
"1" "signaling_triplets" 10 1
"1" "signaling_triplets" 13 1
"2" "others" 2 61
"2" "others" 3 26
"2" "others" 4 7
"2" "others" 5 6
"2" "others" 6 3
"2" "others" 8 1
"2" "others" 10 2
"2" "others" 11 1
"2" "others" 12 1
"2" "others" 13 1
"2" "others" 19 1
"2" "others" 24 2
"2" "others" 52 1
"2" "protein_complexes" 2 401
"2" "protein_complexes" 3 72
"2" "protein_complexes" 4 23
"2" "protein_complexes" 5 13
"2" "protein_complexes" 6 8
"2" "protein_complexes" 7 3
"2" "regulatory_triplets" 2 185
"2" "regulatory_triplets" 3 22
"2" "regulatory_triplets" 4 8
"2" "regulatory_triplets" 5 4
"2" "regulatory_triplets" 12 2
"2" "regulatory_triplets" 13 1
"2" "signaling_triplets" 2 261
"2" "signaling_triplets" 3 43
"2" "signaling_triplets" 4 12
"2" "signaling_triplets" 5 6
"2" "signaling_triplets" 6 3
