"group" "motif_type" "counts" "total_count"
"1" "others" 2 52
"1" "others" 3 20
"1" "others" 4 10
"1" "others" 5 5
"1" "others" 6 3
"1" "others" 7 7
"1" "others" 8 2
"1" "others" 9 1
"1" "others" 10 1
"1" "others" 17 1
"1" "others" 23 1
"1" "others" 24 1
"1" "protein_complexes" 2 425
"1" "protein_complexes" 3 87
"1" "protein_complexes" 4 20
"1" "protein_complexes" 5 12
"1" "protein_complexes" 6 1
"1" "protein_complexes" 7 3
"1" "protein_complexes" 11 1
"1" "regulatory_triplets" 2 184
"1" "regulatory_triplets" 3 34
"1" "regulatory_triplets" 4 9
"1" "regulatory_triplets" 5 1
"1" "regulatory_triplets" 6 2
"1" "regulatory_triplets" 8 2
"1" "regulatory_triplets" 13 1
"1" "signaling_triplets" 2 220
"1" "signaling_triplets" 3 48
"1" "signaling_triplets" 4 13
"1" "signaling_triplets" 5 4
"1" "signaling_triplets" 6 3
"1" "signaling_triplets" 7 3
"1" "signaling_triplets" 8 1
"1" "signaling_triplets" 11 1
"2" "others" 2 65
"2" "others" 3 14
"2" "others" 4 11
"2" "others" 5 7
"2" "others" 6 4
"2" "others" 7 5
"2" "others" 8 2
"2" "others" 9 1
"2" "others" 11 1
"2" "others" 13 1
"2" "others" 28 1
"2" "others" 30 1
"2" "protein_complexes" 2 377
"2" "protein_complexes" 3 85
"2" "protein_complexes" 4 15
"2" "protein_complexes" 5 10
"2" "protein_complexes" 6 1
"2" "protein_complexes" 7 2
"2" "protein_complexes" 8 2
"2" "protein_complexes" 17 1
"2" "regulatory_triplets" 2 182
"2" "regulatory_triplets" 3 19
"2" "regulatory_triplets" 4 12
"2" "regulatory_triplets" 5 1
"2" "regulatory_triplets" 6 1
"2" "regulatory_triplets" 7 1
"2" "signaling_triplets" 2 228
"2" "signaling_triplets" 3 43
"2" "signaling_triplets" 4 12
"2" "signaling_triplets" 5 5
"2" "signaling_triplets" 8 2
"3" "others" 2 71
"3" "others" 3 15
