"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tuku" "tdku"
22 72 89 42 94 161 2 6 14 7 11 18 NA NA NA
29 42 46 38 24 143 NA 20 18 4 8 19 NA NA NA
17 60 67 43 55 116 NA 11 14 4 7 17 NA NA NA
22 54 73 25 42 105 NA 19 16 8 17 32 NA NA NA
9 36 51 22 52 111 2 14 15 11 7 37 NA NA NA
21 23 46 36 47 138 1 22 18 1 5 18 NA NA NA
15 60 56 22 33 135 NA 6 13 3 11 23 1 NA NA
27 70 81 45 29 152 NA 6 13 11 4 18 2 NA NA
28 43 63 29 58 118 NA 16 5 3 12 30 NA NA NA
17 49 52 21 44 127 1 16 12 5 8 29 NA NA NA
25 47 50 33 57 136 NA 10 13 7 9 19 NA NA NA
28 70 89 38 62 137 1 22 15 6 14 17 NA NA NA
16 42 53 29 62 110 NA 17 15 6 13 12 NA NA NA
20 55 68 36 53 144 NA 13 8 6 8 29 3 NA NA
20 56 70 35 52 156 1 11 4 3 2 17 NA NA NA
21 58 54 36 71 127 1 9 9 5 6 16 NA NA NA
18 54 69 29 76 113 NA 16 6 4 7 22 1 NA NA
15 51 61 22 49 119 2 7 16 6 7 36 NA NA NA
11 22 86 15 55 145 NA 14 16 7 15 23 1 1 NA
21 56 81 33 75 123 NA 17 8 5 11 27 NA NA 1
31 49 59 36 58 131 NA 19 15 13 8 28 NA NA NA
19 59 64 28 83 124 1 16 3 7 12 27 NA NA NA
15 49 70 29 69 117 NA 18 3 5 6 18 NA NA NA
13 50 54 37 50 124 NA 12 8 11 17 27 NA NA NA
15 25 52 29 46 101 NA 15 5 7 11 16 1 NA NA
30 77 56 29 54 144 NA 23 9 9 11 19 NA NA NA
20 54 56 29 53 118 NA 16 14 4 9 27 NA NA NA
18 30 64 53 79 140 NA 11 12 5 9 28 NA NA NA
21 65 65 41 63 124 NA 11 3 3 8 22 1 NA NA
49 80 76 33 65 146 2 17 16 7 10 21 NA NA NA
17 50 51 44 52 139 NA 15 9 6 9 14 NA NA NA
26 51 61 34 74 133 NA 7 15 9 7 16 NA NA NA
14 67 79 33 58 141 2 17 14 8 8 26 1 NA NA
22 44 62 41 62 156 1 18 9 5 12 21 1 NA 1
23 57 59 35 45 136 NA 19 7 10 9 23 1 NA NA
24 70 77 28 82 129 NA 13 10 4 7 20 1 NA NA
33 76 65 35 25 144 1 24 20 9 6 22 NA 1 NA
19 49 74 31 44 132 1 15 12 2 7 10 NA NA NA
13 40 48 26 55 106 NA 23 7 1 12 20 NA NA NA
29 74 89 40 70 149 1 15 14 3 11 18 NA NA 2
18 58 70 34 51 143 1 14 16 7 12 24 4 NA NA
16 52 48 31 71 121 2 13 10 2 5 15 1 NA 2
25 58 69 43 29 172 NA 8 6 5 8 20 1 NA NA
29 62 64 34 68 135 4 12 17 5 9 28 1 NA NA
33 74 72 32 50 120 NA 8 16 10 7 40 2 NA NA
12 42 68 19 40 134 NA 18 9 4 8 24 NA NA NA
27 58 58 40 57 134 NA 27 7 6 11 21 NA 1 NA
23 73 55 30 48 142 NA 15 19 3 17 23 1 NA NA
34 62 70 33 89 142 1 6 15 3 13 24 1 1 NA
23 64 59 37 59 130 NA 9 8 7 2 30 NA NA NA
20 56 72 42 65 141 NA 25 12 3 13 23 NA NA NA
19 46 60 29 37 134 1 19 15 9 9 19 3 NA 1
15 41 74 12 55 131 1 12 8 2 14 19 NA NA NA
20 56 69 23 72 126 NA 19 8 8 2 27 NA NA 2
25 62 70 34 58 130 NA 19 15 4 11 21 NA NA NA
11 47 46 27 59 115 NA 12 10 8 10 19 NA NA NA
15 49 61 37 56 126 1 12 8 9 11 30 1 NA NA
18 55 69 25 67 123 NA 12 9 2 15 27 1 NA NA
31 83 74 43 73 139 NA 19 10 4 18 24 NA NA NA
16 59 59 34 70 130 NA 11 13 8 5 28 NA NA NA
10 48 66 32 45 132 NA 21 6 3 11 17 NA NA NA
26 63 62 36 44 151 NA 9 13 6 8 21 1 NA NA
26 61 65 28 47 129 2 14 10 5 7 16 1 NA NA
9 52 67 21 67 112 NA 18 7 5 7 19 NA NA NA
20 50 72 37 57 149 NA 10 14 4 17 32 1 NA NA
16 57 73 27 54 136 NA 12 7 4 5 22 NA NA 1
26 45 71 32 52 129 NA 21 7 2 10 22 NA NA 1
32 61 69 29 69 134 NA 18 14 5 5 22 2 NA 1
12 38 58 27 47 123 1 12 15 7 3 26 NA NA NA
17 52 57 33 53 135 1 17 7 8 8 18 NA NA NA
12 52 68 19 60 125 NA 15 5 5 5 13 1 NA NA
24 68 86 33 73 141 NA 13 15 3 7 20 NA NA NA
16 69 73 40 57 121 NA 17 6 6 6 22 1 NA NA
9 45 59 19 62 130 1 15 12 7 11 12 NA NA NA
22 48 80 30 72 140 NA 23 12 5 10 23 1 NA NA
23 58 61 45 70 132 NA 17 5 5 17 17 1 NA NA
27 65 56 26 55 128 1 19 7 3 4 21 3 NA 1
27 63 70 42 74 135 NA 17 7 7 17 18 NA NA NA
22 49 103 31 78 142 NA 13 7 7 5 22 1 NA NA
13 45 68 19 64 115 NA 10 7 7 14 36 NA NA NA
21 51 59 37 64 141 NA 21 13 1 11 17 NA NA NA
19 46 71 23 68 106 NA 13 16 3 7 18 NA NA NA
18 62 59 32 54 122 NA 29 9 3 7 23 1 NA NA
18 59 66 31 54 133 1 6 11 10 15 32 NA NA NA
24 37 43 29 53 140 1 8 19 3 8 19 NA NA 1
24 65 50 31 57 116 NA 11 15 2 7 23 NA NA NA
17 61 68 27 30 142 NA 11 17 12 7 17 NA NA NA
23 44 62 30 70 124 3 8 5 6 6 31 NA NA NA
17 43 82 19 67 109 NA 5 21 8 13 25 NA NA NA
13 53 69 29 43 114 NA 11 5 2 4 19 NA NA NA
22 51 79 34 81 130 1 19 4 12 5 24 NA NA 1
19 57 62 25 58 132 1 16 8 3 9 25 NA NA NA
23 52 69 26 65 149 2 18 17 9 12 34 1 NA NA
25 61 78 25 71 145 2 17 18 9 12 24 NA NA NA
21 53 72 46 52 119 NA 6 12 2 6 27 1 NA NA
20 54 67 30 47 130 NA 15 10 1 9 28 NA NA NA
20 58 62 36 59 158 NA 10 11 3 9 18 NA NA 1
24 45 74 26 66 153 NA 7 4 5 3 27 NA NA NA
13 45 50 28 45 124 NA 7 4 8 12 15 NA NA NA
13 39 33 21 45 144 NA 15 17 3 15 36 NA NA NA
