"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 13 6 13 6 100 2.77
"2" "kukd" 95 0 0 1 NA 43 11 43 10 100 2.21
"3" "kuku" 324 0 0 1 NA 136 18 133 19 100 2.38
"4" "pkd" 175 0 0 1 NA 57 10 56 9 100 3.07
"5" "pku" 266 0 0 1 NA 100 17 100 16 100 2.66
"6" "pp" 1883 0 0 1 NA 306 23 305 25 100 6.15
"7" "tdkd" 33 0 0 1 NA 10 5 9 4 100 3.3
"8" "tdku" 15 0 0 1 NA 5 3 4 3 100 3
"9" "tdp" 101 0 0 1 NA 51 11 51 9 100 1.98
"10" "tdtd" 38 0.01 NA 0.99 NA 19 7 19 6 100 2
"11" "tukd" 23 0.07 NA 0.96 NA 15 5 16 4 100 1.53
"12" "tuku" 0 1 NA 0.86 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 45 10 46 7 100 2.31
"14" "tutd" 15 0.22 NA 0.8 NA 11 4 11 4 100 1.36
"15" "tutu" 236 0 0 1 NA 168 17 166 16 100 1.4
