"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 54 16 1 NA NA NA
"ku" "kd" 209 2 15 5 NA NA
"ku" "ku" 1172 13 12 10 2 3
"p" "kd" 446 4 19 3 NA NA
"p" "ku" 1483 11 5 22 1 1
"p" "p" 5392 7 8 113 5 3
"td" "kd" 68 NA 6 NA NA NA
"td" "ku" 32 NA NA NA 3 NA
"td" "p" 707 NA NA 2 38 NA
"td" "td" 181 NA NA NA NA 24
"tu" "kd" 110 NA NA 1 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 526 NA NA 3 1 1
"tu" "td" 122 NA NA 1 NA 7
"tu" "tu" 3080 1 1 15 2 5
"kd" "kd" 23 4 55 2 NA NA
"ku" "kd" 210 8 48 11 NA NA
"ku" "ku" 1223 16 24 15 NA NA
"p" "kd" 476 7 47 29 NA NA
"p" "ku" 1639 6 9 18 1 5
"p" "p" 5439 7 27 120 5 4
"td" "kd" 83 NA NA NA NA NA
"td" "ku" 53 NA NA NA 1 NA
"td" "p" 680 NA NA 5 46 NA
"td" "td" 98 NA NA NA 10 3
"tu" "kd" 80 1 5 1 NA NA
"tu" "p" 504 NA 2 5 NA NA
"tu" "td" 121 NA NA 1 NA 11
"tu" "tu" 3184 1 1 8 2 2
"kd" "kd" 45 36 43 29 NA NA
"ku" "kd" 236 20 39 16 NA NA
"ku" "ku" 1203 16 21 9 NA NA
"p" "kd" 475 17 29 14 NA NA
"p" "ku" 1522 17 5 18 1 1
"p" "p" 5506 6 19 147 1 8
"td" "kd" 39 NA 3 3 6 NA
"td" "ku" 34 NA 1 1 NA NA
"td" "p" 713 NA 1 3 36 NA
"td" "td" 176 NA NA NA NA 2
"tu" "kd" 115 1 1 4 NA NA
"tu" "p" 534 NA NA 7 1 NA
"tu" "td" 147 NA 1 1 NA 15
"tu" "tu" 3000 NA NA 14 3 4
"kd" "kd" 36 28 12 NA NA NA
"ku" "kd" 218 18 47 4 NA NA
"ku" "ku" 1231 12 11 11 1 NA
"p" "kd" 478 8 25 9 NA NA
"p" "ku" 1568 12 7 15 NA 1
"p" "p" 5087 11 15 95 1 2
"td" "kd" 93 NA 4 NA NA NA
"td" "ku" 36 NA NA NA NA NA
"td" "p" 680 NA 1 3 13 NA
"td" "td" 192 NA NA NA NA NA
"tu" "kd" 107 NA 5 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 463 NA 4 1 2 1
"tu" "td" 82 NA NA NA NA 5
"tu" "tu" 3069 NA NA 6 2 2
"kd" "kd" 39 11 17 NA NA NA
"ku" "kd" 219 6 17 7 NA NA
"ku" "ku" 1247 19 10 9 2 1
"p" "kd" 249 5 25 12 NA NA
"p" "ku" 1453 4 3 12 NA 4
"p" "p" 5193 8 9 99 2 4
"td" "kd" 23 NA 3 NA NA NA
"td" "ku" 27 NA NA NA NA NA
"td" "p" 638 NA 4 2 25 2
"td" "td" 145 NA NA NA 34 NA
"tu" "kd" 105 NA 3 2 NA NA
"tu" "p" 506 NA NA 2 NA 1
"tu" "td" 117 NA NA NA NA 2
"tu" "tu" 3269 NA NA 12 NA 4
"kd" "kd" 43 16 NA 3 NA NA
"ku" "kd" 199 3 17 10 1 NA
"ku" "ku" 1227 13 8 22 2 5
"p" "kd" 468 8 22 30 NA NA
"p" "ku" 1529 5 1 11 1 2
"p" "p" 5391 9 7 130 1 3
"td" "kd" 34 NA 1 NA NA NA
"td" "ku" 45 NA NA NA 1 NA
"td" "p" 648 NA NA 7 37 NA
"td" "td" 162 NA NA NA 10 14
"tu" "kd" 87 1 1 NA NA NA
"tu" "p" 424 NA NA 5 NA NA
"tu" "td" 90 NA NA NA NA 5
"tu" "tu" 3097 NA NA 12 4 5
"kd" "kd" 42 16 8 NA NA NA
"ku" "kd" 222 2 32 4 NA NA
"ku" "ku" 1127 15 22 5 2 1
"p" "kd" 464 3 31 14 1 NA
"p" "ku" 1441 7 8 15 3 1
"p" "p" 5275 6 18 112 4 3
"td" "kd" 34 NA 8 NA 1 NA
"td" "ku" 45 NA NA NA 3 NA
"td" "p" 675 NA 2 1 33 NA
"td" "td" 155 NA NA NA 10 NA
"tu" "kd" 82 1 3 NA NA NA
"tu" "ku" 2 NA NA NA NA 1
"tu" "p" 455 NA 1 3 1 1
"tu" "td" 129 NA NA NA NA 6
"tu" "tu" 3231 NA 1 12 1 6
"kd" "kd" 39 NA NA NA NA NA
"ku" "kd" 241 1 17 2 NA NA
"ku" "ku" 1195 12 6 12 1 NA
"p" "kd" 447 NA 20 19 NA NA
"p" "ku" 1548 5 1 14 1 1
"p" "p" 5387 3 9 118 13 10
"td" "kd" 47 NA 3 2 2 NA
"td" "ku" 33 NA NA NA 2 NA
"td" "p" 688 NA 1 3 47 1
"td" "td" 125 NA NA 2 5 31
"tu" "kd" 116 NA 5 3 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 478 NA 2 6 NA 1
"tu" "td" 159 NA NA NA 1 13
"tu" "tu" 3251 NA NA 7 2 3
"kd" "kd" 40 4 5 2 NA NA
"ku" "kd" 103 5 27 10 NA NA
"ku" "ku" 1117 14 12 9 2 NA
"p" "kd" 460 2 18 25 NA NA
"p" "ku" 1461 12 7 21 1 1
"p" "p" 5179 3 13 127 7 5
"td" "kd" 55 NA 5 NA 3 NA
"td" "ku" 40 NA 2 NA 1 NA
"td" "p" 574 NA 3 7 42 1
"td" "td" 229 NA NA NA 8 16
"tu" "kd" 87 NA 2 3 NA NA
"tu" "p" 439 NA 1 9 NA NA
"tu" "td" 129 NA NA NA NA 15
"tu" "tu" 3279 NA 1 8 1 6
"kd" "kd" 46 NA 18 NA NA NA
"ku" "kd" 218 1 12 3 NA NA
"ku" "ku" 1277 4 9 11 1 NA
"p" "kd" 465 3 26 9 NA NA
"p" "ku" 1666 4 8 19 NA 3
"p" "p" 5308 2 11 101 2 2
"td" "kd" 60 NA NA 1 NA NA
"td" "ku" 36 NA NA 1 NA NA
"td" "p" 635 NA NA 11 37 1
"td" "td" 138 NA NA 3 5 19
"tu" "kd" 92 1 2 2 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 513 NA NA 6 NA 1
"tu" "td" 113 NA NA NA NA 14
"tu" "tu" 3139 NA NA 6 4 2
"kd" "kd" 42 1 1 NA NA NA
"ku" "kd" 222 1 29 4 NA NA
"ku" "ku" 1129 11 19 3 2 5
"p" "kd" 511 NA 36 22 1 NA
"p" "ku" 1450 3 10 11 NA 2
"p" "p" 5306 1 15 129 2 NA
"td" "kd" 43 NA 19 NA NA NA
"td" "ku" 55 NA 1 NA 3 NA
"td" "p" 678 NA 8 5 20 NA
"td" "td" 164 NA NA NA 1 3
"tu" "kd" 99 NA 3 1 1 1
"tu" "ku" 9 NA NA NA NA NA
"tu" "p" 477 NA NA 10 NA 5
"tu" "td" 108 NA NA NA NA 17
"tu" "tu" 3011 NA 1 5 6 6
"kd" "kd" 46 NA 13 NA NA NA
"ku" "kd" 220 2 14 6 NA NA
"ku" "ku" 1105 6 18 15 3 1
"p" "kd" 496 2 8 15 NA NA
"p" "ku" 1454 2 5 7 NA 2
"p" "p" 5312 3 2 123 4 4
"td" "kd" 42 NA NA 24 NA NA
"td" "ku" 27 NA NA 2 2 NA
"td" "p" 711 NA NA 19 48 3
"td" "td" 169 NA NA NA 23 111
"tu" "kd" 120 1 1 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 530 NA 1 2 1 NA
"tu" "td" 126 NA NA NA NA 9
"tu" "tu" 3270 NA NA 7 3 4
"kd" "kd" 31 2 59 51 NA NA
"ku" "kd" 187 2 32 13 NA NA
"ku" "ku" 1358 7 14 12 NA 2
"p" "kd" 462 12 29 14 NA NA
"p" "ku" 1612 11 4 10 2 3
"p" "p" 5374 9 19 112 5 1
"td" "kd" 66 NA 6 NA NA NA
"td" "ku" 40 NA 1 NA 3 NA
"td" "p" 741 NA NA 5 51 1
"td" "td" 87 NA NA NA 45 4
"tu" "kd" 127 1 7 5 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 523 NA 1 2 NA NA
"tu" "td" 106 NA NA 1 NA 4
"tu" "tu" 2922 1 NA 10 5 3
"kd" "kd" 43 6 15 3 NA NA
"ku" "kd" 190 3 15 1 NA NA
"ku" "ku" 1224 8 7 6 2 4
"p" "kd" 411 4 25 13 NA NA
"p" "ku" 1417 4 3 19 1 1
"p" "p" 5418 NA 4 131 NA 1
"td" "kd" 31 NA 9 NA NA NA
"td" "ku" 55 NA 2 NA NA NA
"td" "p" 597 NA 5 8 30 NA
"td" "td" 157 NA NA NA 21 31
"tu" "kd" 127 NA 4 NA NA NA
"tu" "p" 513 NA NA 6 1 1
"tu" "td" 143 NA NA 1 1 8
"tu" "tu" 3101 NA NA 11 3 6
"kd" "kd" 22 25 1 NA NA NA
"ku" "kd" 219 4 22 6 NA NA
"ku" "ku" 1273 13 12 9 1 2
"p" "kd" 540 6 13 12 1 NA
"p" "ku" 1618 1 3 6 1 3
"p" "p" 5373 4 7 113 2 5
"td" "kd" 64 NA 1 NA 1 NA
"td" "ku" 25 NA NA NA 1 NA
"td" "p" 678 NA 3 NA 26 NA
"td" "td" 151 NA NA NA 9 3
"tu" "kd" 97 NA 1 NA NA NA
"tu" "p" 503 NA 1 2 NA NA
"tu" "td" 101 NA NA NA NA 14
"tu" "tu" 3258 NA 1 7 NA 5
"kd" "kd" 43 12 10 NA NA NA
"ku" "kd" 172 7 10 4 NA NA
"ku" "ku" 1247 15 8 10 2 2
"p" "kd" 486 2 13 9 NA NA
"p" "ku" 1749 5 2 6 NA 2
"p" "p" 5578 7 10 123 5 7
"td" "kd" 39 NA 4 NA NA NA
"td" "ku" 41 NA NA NA 1 NA
"td" "p" 619 NA 3 9 31 NA
"td" "td" 144 NA NA NA NA NA
"tu" "kd" 108 NA 3 3 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 447 NA NA 2 1 1
"tu" "td" 118 NA NA 2 NA 8
"tu" "tu" 2912 NA 3 8 3 3
"kd" "kd" 51 6 4 NA NA NA
"ku" "kd" 242 2 14 4 NA NA
"ku" "ku" 1180 12 10 11 1 2
"p" "kd" 460 NA 15 18 NA NA
"p" "ku" 1552 5 9 15 NA 2
"p" "p" 5218 2 4 148 2 1
"td" "kd" 36 NA 5 NA 2 NA
"td" "ku" 31 NA NA NA 1 NA
"td" "p" 610 NA 1 6 24 NA
"td" "td" 159 NA NA 2 8 6
"tu" "kd" 117 NA 1 3 NA NA
"tu" "p" 470 NA NA NA NA NA
"tu" "td" 117 NA NA NA NA 10
"tu" "tu" 3130 NA 1 4 2 10
"kd" "kd" 41 13 22 NA NA NA
"ku" "kd" 109 4 21 3 NA NA
"ku" "ku" 1211 15 11 8 1 3
"p" "kd" 404 2 14 6 NA NA
"p" "ku" 1464 3 3 7 1 3
"p" "p" 5176 4 9 123 1 2
"td" "kd" 49 NA NA NA NA NA
"td" "ku" 52 NA NA NA 3 NA
"td" "p" 671 NA NA 12 23 NA
"td" "td" 149 NA NA NA 10 NA
"tu" "kd" 104 NA 4 1 NA NA
"tu" "p" 533 NA NA 9 1 NA
"tu" "td" 126 NA NA 1 NA 10
"tu" "tu" 3161 NA 1 15 NA 3
"kd" "kd" 45 9 9 2 NA NA
"ku" "kd" 204 5 22 10 NA NA
"ku" "ku" 1190 11 7 12 NA 4
"p" "kd" 488 1 25 27 NA NA
"p" "ku" 1562 10 3 33 2 4
"p" "p" 5471 8 12 152 6 5
"td" "kd" 92 NA 13 13 NA NA
"td" "ku" 32 NA NA 1 NA NA
"td" "p" 687 NA 6 24 30 NA
"td" "td" 170 NA NA NA NA 2
"tu" "kd" 109 NA 8 5 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 547 NA 3 5 NA 1
"tu" "td" 117 NA NA 1 NA 8
"tu" "tu" 3410 1 NA 12 1 3
"kd" "kd" 31 8 38 NA NA NA
"ku" "kd" 232 6 33 NA NA NA
"ku" "ku" 1282 17 14 8 2 4
"p" "kd" 500 11 24 20 NA NA
