"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 5 11 4 100 3.08
"2" "kukd" 21 0 0 1 NA 13 4 14 3 100 1.62
"3" "kuku" 12 0.2 NA 0.99 NA 11 1 11 1 100 1.09
"4" "pkd" 128 0 0 1 NA 79 8 79 7 100 1.62
"5" "pku" 12 0.83 NA 0.17 NA 18 4 19 1 100 0.67
"6" "pp" 193 0 0 1 NA 121 7 121 6 100 1.6
"7" "tdkd" 28 0.08 NA 0.93 NA 20 6 19 6 100 1.4
"8" "tdku" 10 0.1 NA 0.95 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.02 NA 0.99 NA 82 12 82 9 100 1.22
"10" "tdtd" 34 0.24 NA 0.78 NA 29 7 29 6 100 1.17
"11" "tukd" 8 0.65 NA 0.47 NA 8 3 9 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.11 NA 0.98 NA 15 3 15 3 100 1.27
"14" "tutd" 4 0.98 NA 0.04 NA 10 3 10 3 100 0.4
"15" "tutu" 11 0.36 NA 0.91 NA 10 1 10 1 100 1.1
